commodity,mean_price_spread_ratio,mean_price_range,modal_price_std,number_of_markets,composite_risk,commodity_cluster,pca1,pca2
Ajwan,0.3191147429349676,3525.0,2456.114818163027,3,0.1923772983856766,1,1.6357106877906278,-1.7227669960305245
Alsandikai,0.25396825396825395,900.0,70.71067811865476,2,0.0470134665464562,0,-0.9547720140261189,-1.1853669917252583
Amaranthus,0.17566463920692885,482.9896907216495,2152.4082162111304,193,0.3132531176252411,3,0.4301271534414879,1.2298797002624877
Amla(Nelli Kai),0.13257276628600156,847.5,1543.5651442133494,80,0.1346957588324384,0,-0.5180245656751756,-0.008185806089012015
Amphophalus,0.057094659495693964,381.7391304347826,5592.009969060422,23,0.2635199331916798,0,0.4522033855265887,0.4674020716804463
Apple,0.2831773621292171,1797.1960784313726,4055.4511560042597,232,0.3133878332433688,3,1.7407408894603211,0.7981726275224504
Arecanut(Betelnut/Supari),0.07068989376635337,1366.0,14062.783188259711,9,0.4480662396272981,1,3.524971565964598,0.7747956294175137
Arhar (Tur/Red Gram)(Whole),0.09669706234583295,787.5454545454545,1562.1992662104553,32,0.1022334965604824,0,-0.8110598402634758,-0.2838599552581157
Arhar Dal(Tur Dal),0.0226510619408148,340.6730769230769,768.1630995506827,52,0.0513318629842238,0,-1.5899001559233026,0.044864210027511356
Ashgourd,0.18102007854217692,359.67391304347825,4769.753596091411,184,0.5894595575775194,3,2.1834551000454847,2.0435578641502703
Bajra(Pearl Millet/Cumbu),0.09729269218217963,227.2941176470588,206.89866326959455,84,0.0619955301881295,0,-1.5090847835399015,0.07751872279411613
Banana,0.18627794817045762,835.2954545454545,1776.9513477383773,345,0.2540211469639096,3,0.3767594334856611,1.8976402131585475
Banana - Green,0.13438994553167868,382.8666666666667,2037.153723982714,255,0.3238059323589262,3,0.34787155304968986,1.8154841662280021
Barley (Jau),0.03540320286461448,79.53125,123.234790169272,32,0.0249690291305808,0,-1.9519264376396375,-0.13360583338866933
Beans,0.12509606955850383,735.168918918919,1829.74638865633,148,0.1789400806562312,0,-0.2839435366334483,0.6238240425346092
Beetroot,0.15807527981171351,579.0625,1625.9762941843783,192,0.2184301969723112,3,-0.11076569634580323,0.9647503978701147
Bengal Gram Dal (Chana Dal),0.02626342977157154,224.7826086956522,525.964200227495,23,0.0357319204496937,0,-1.7777188537540474,-0.16870227222523443
Bengal Gram(Gram)(Whole),0.0718805421000861,501.3609022556391,683.535240358557,128,0.0896629697098034,0,-1.1836725795576883,0.44532299052701035
Betal Leaves,0.19142570507050705,2555.0,6153.999020748087,20,0.2940583409035063,1,2.0866457896135024,-0.5368783526198814
Bhindi(Ladies Finger),0.17410680549781937,379.11581291759467,1081.8357043519259,449,0.2718707118842519,3,0.13475975333417728,2.784496251121881
Bitter gourd,0.14389407064396265,497.71243523316065,2095.747568868384,383,0.3421238270182475,3,0.6067215647285048,2.63552834284732
Black Gram (Urd Beans)(Whole),0.18659544337356362,1268.5405405405406,1632.348246670421,74,0.1447368369352631,0,-0.12253841052688015,-0.31153017492887497
Black Gram Dal (Urd Dal),0.058207434812306114,482.6764705882353,1543.4278862093615,34,0.0908105515232009,0,-1.1073930328833455,-0.0918481641956531
Black pepper,0.10478945338247647,6462.384615384615,11630.667904184864,12,0.463446435362801,1,5.667985947292303,-0.9242966916480686
Bottle gourd,0.19951159060571308,328.2342227979275,670.9691852235369,386,0.2114699490375507,3,-0.23225564059467577,2.1328312043976743
Brinjal,0.17597135726522842,480.139146567718,1404.2798469874722,532,0.295065203687182,3,0.4151315390184127,3.3604894752065206
Bunch Beans,0.38596491228070173,600.0,282.842712474619,2,0.0793831632976107,0,-0.5905610144013672,-1.3937533629856222
Cabbage,0.18630498417164626,404.1640866873065,1239.9531997774002,323,0.2715760373249459,3,0.12474686479989623,1.9247202838416957
Capsicum,0.1486494464878041,766.2484076433121,2918.915937725974,157,0.2612831264246597,3,0.3949104924051236,0.8629008920813875
Carrot,0.15966602534294047,757.1111111111111,3232.15700268412,225,0.334765079594164,3,0.8642638586182172,1.4899722495186054
Castor Seed,0.05773238641136669,348.1458333333333,454.96673510619604,47,0.0473131734384668,0,-1.5871459260705583,-0.11577800221747933
Cauliflower,0.2045102969276769,713.4554794520548,1875.5636253688044,292,0.2756541831173966,3,0.44663000335518094,1.6000478449199427
Chikoos(Sapota),0.19003759136942658,734.8837209302326,1088.527457888901,43,0.1186886536159345,0,-0.6248746796365751,-0.4444709844202413
Chili Red,0.0964408976195348,1833.3333333333333,3860.9152628187358,6,0.1721008430250869,0,0.46928250349516276,-0.5203816500971056
Chilly Capsicum,0.3677714758359919,1075.0,1361.9674581805755,8,0.1547286952473266,0,0.16760247843849913,-1.2067472343983499
Chow Chow,0.12079022769980922,370.4,707.6740638494259,125,0.1095171503322674,0,-1.0350616803650996,0.37555227050922596
Cluster beans,0.13402479389730887,443.048128342246,1692.35310626451,187,0.230255876670924,3,-0.17007011621790272,1.082723999038259
Coconut,0.13606454168338689,599.8930481283422,3605.83243033686,184,0.3440710990075457,3,0.8228885799947988,1.380472960478174
Coconut Oil,0.06218273588937973,1250.0,1567.694698168833,6,0.0816262411589261,0,-0.7800371837329044,-0.5510137016687234
Coconut Seed,0.08620025100818816,325.0,418.96982503005415,8,0.0439675157480609,0,-1.578100392898687,-0.4583836756554123
Coffee,0.006231139995241333,133.33333333333334,251.66114784235882,3,0.0104997189930769,0,-2.0556760016831,-0.2879851979201226
Colacasia,0.11505630386251661,527.9621212121212,4362.554303721003,132,0.3441541568205855,3,0.8571751730170247,1.1491932771635207
Copra,0.19450456040232264,1850.0,2285.534547248557,5,0.1414753022475004,0,0.25191568889217314,-0.9572629796233566
Coriander(Leaves),0.1574723445899086,920.3399014778325,4095.241482761002,203,0.3167800797619088,3,1.0160420924372673,1.2749245112656962
Corriander seed,0.22475213451868173,1452.8333333333333,1116.7097114783883,23,0.118064948454754,0,-0.20200474018805578,-0.9049374387591342
Cotton,0.2526595300079918,1658.7222222222222,851.6188300678104,52,0.1157715050588452,0,-0.07999962581287608,-0.8789311805026071
Cowpea (Lobia/Karamani),0.0919036107980207,547.1428571428571,2196.5340663786446,7,0.1229542683092838,0,-0.7316353114022301,-0.2811160858733697
Cowpea(Veg),0.14605435752940182,591.1428571428571,4409.974703606234,103,0.3631592848539774,3,1.0410062231691053,0.9022258135920327
Cucumbar(Kheera),0.22241121020809504,545.9522184300341,1531.681262578842,291,0.2467654515749675,3,0.20437314677238444,1.5010401117800187
Cummin Seed(Jeera),0.15387555293432195,3410.185185185185,1372.664787278241,27,0.1340939253972734,0,0.7088339856365617,-1.224635927661611
Custard Apple (Sharifa),0.15298155298155297,800.0,1602.0116858005254,37,0.1329861361239381,0,-0.5161409929709049,-0.33763747279463646
Drumstick,0.12996463208002074,961.9704433497537,2556.125778271149,203,0.2359708690834142,3,0.284786572653288,1.0758431974729197
Dry Chillies,0.43405281851821836,4750.0,4259.890452425587,2,0.2897335566067357,2,3.3235176916205478,-2.1370004734702666
Duster Beans,0.10416666666666666,500.0,2545.584412271571,2,0.1353045243521146,0,-0.6005125347274741,-0.29175116338337187
Elephant Yam (Suran),0.11860336925566488,776.1304347826087,1502.536752902074,115,0.1369080409462873,0,-0.5616474394531338,0.28888458852063553
Field Pea,0.23531282443047147,1270.0,3500.0,10,0.2037844045702012,0,0.6050825471315285,-0.6584654193162213
Fig(Anjura/Anjeer),0.1625,2250.0,5678.908345800273,4,0.2619643199311933,1,1.613520498962076,-0.5612257731895632
Firewood,0.09813165706303467,30.0,106.80979980008077,3,0.0505714511819354,0,-1.7290623739111943,-0.4243803253058335
Fish,0.2149180222566408,4345.454545454545,9242.81539162372,8,0.4010190259997501,1,4.127358382178343,-0.8613619620963986
Foxtail Millet(Navane),0.0593869731800766,155.0,91.92388155425118,2,0.0148672709648225,0,-1.930040417038117,-0.4539808239597388
French Beans (Frasbean),0.17480369949144312,690.6666666666666,6215.630891046972,45,0.3685740049682761,1,1.5119548996266725,0.4709059187244998
Garlic,0.19588424270169402,4124.886010362694,14662.892207538602,192,0.6582322276943767,1,6.381278009167972,1.3313611752043095
Ginger(Dry),0.2138338553931557,1053.0434782608695,7710.226051858078,23,0.3645011093792593,1,2.0522330242607087,0.12502292566115594
Ginger(Green),0.18189998252427325,1906.7340067340067,8847.988729727202,297,0.5729819155456494,1,3.7634238514844363,2.3534284633851152
Grapes,0.20296308401041982,1671.0526315789473,3174.05831063596,37,0.1922098941032476,0,0.6205368760761906,-0.5520480628778567
Green Avare (W),0.1403417051192718,944.6666666666666,2010.7439606194978,150,0.1860900563538178,0,-0.07422134796345187,0.5501996286840368
Green Chilli,0.1521995504743935,621.39375,2621.1141305101646,476,0.3306876968864665,3,0.8013742314670655,3.1575464525036536
Green Gram (Moong)(Whole),0.19269384164451758,1410.5084745762713,1498.026264869754,58,0.1347053998581993,0,-0.12275559493383101,-0.5102171463990418
Green Gram Dal (Moong Dal),0.16955341703103124,1382.2758620689656,2432.5054407363255,29,0.1565649609918914,0,0.07930651968018028,-0.5330838469466282
Green Peas,0.07711610810338637,1309.04,8372.862103645723,25,0.3174306297894472,1,1.7660349540110603,0.3562964430322334
Ground Nut Seed,0.15800869506835577,739.1833333333334,2550.224990074405,6,0.158330649727888,0,-0.24456101146286177,-0.43830125792072694
Groundnut,0.18668419381017776,1011.3267326732673,980.0224681198905,95,0.119553200550839,0,-0.4824192189901017,-0.18347556527433825
Groundnut (Split),0.12654279749478076,702.5,1032.3759005323593,2,0.0755588222568314,0,-1.030834715864129,-0.6318722808637087
Guar,0.2641335955169904,1231.578947368421,1574.8546410227445,19,0.1457525986947515,0,0.003243092511654975,-0.8904342230272188
Guar Seed(Cluster Beans Seed),0.02806218826137866,138.57142857142858,189.8401583287522,7,0.0165981869812472,0,-1.9823320560127717,-0.3141094330962925
Guava,0.18708532348595044,921.9685039370079,1625.7116542308975,127,0.1618228069516163,0,-0.1779149697757375,0.18770672734587998
Gur(Jaggery),0.04188028092939958,176.87654320987653,527.7459800362715,76,0.0653328949007117,0,-1.5917728447891648,0.2269299711442988
Indian Beans (Seam),0.10066723936289151,583.3333333333334,1013.6304630305405,54,0.09034367486219,0,-1.0527060457181265,-0.13732093778789997
Isabgul (Psyllium),0.11872518050663862,1450.0,590.6705229369978,4,0.0626376635245841,0,-0.8336780538453156,-0.8772954868507286
Jack Fruit,0.1431538572875959,328.57142857142856,687.2131436184154,7,0.0805534463732915,0,-1.2165519123570188,-0.5278093213777595
Jamun(Narale Hannu),0.125,1000.0,0.0,2,0.0310913122980116,0,-1.304423885585165,-0.8733740739004145
Jasmine,0.1058247066942719,4565.217391304348,9938.944043290121,23,0.3927863808203323,1,4.084664547274986,-0.507321487580739
Jowar(Sorghum),0.2550910129878531,736.4358974358975,758.1894007050156,39,0.1161183533179446,0,-0.5489852440487158,-0.6837961087698223
Jute,0.056678300490601616,323.0,519.7884184935251,5,0.0403562896236471,0,-1.6483344000497147,-0.3954484162274203
Kabuli Chana(Chickpeas-White),0.2549118402167857,2854.6,3565.1144114413305,10,0.219486156750949,1,1.5094296003963044,-1.1672647155812963
Kakada,0.1022927689594356,3111.1111111111113,10618.38029079765,9,0.3841613517203205,1,3.4570471975778063,-0.1390077587490807
Karbuja(Musk Melon),0.3509888167388167,1190.8333333333333,2179.710155877695,12,0.1838627022139889,0,0.48657816912050944,-1.0621284497817032
Kartali (Kantola),0.19246589940323952,1450.0,2189.130344832547,4,0.1421079157399275,0,0.03499143967365535,-0.8332790916869812
Kinnow,0.3222222222222222,583.3333333333334,500.0,3,0.0893415875428202,0,-0.6614429868004585,-1.155314557381537
Knool Khol,0.12922356318699388,496.15384615384613,1392.3396581329298,78,0.131219286167378,0,-0.7451636337563207,0.08498409309352627
Kodo Millet(Varagu),0.0,0.0,494.9747468305833,2,0.0324194317248315,0,-1.9856703494729522,-0.16554353988399576
Kulthi(Horse Gram),0.1809619437824143,1070.142857142857,747.361963684201,7,0.0767695959985095,0,-0.769787614064381,-0.8831799119547221
Kutki,0.0046854082998661,17.5,95.45941546018392,2,0.0048558351627718,0,-2.1741822349331423,-0.2736849107415339
Leafy Vegetable,0.25319656189221407,662.0,1689.1496874660536,10,0.1722834495825092,0,-0.1605526098743807,-0.6597108751734818
Lemon,0.14008752177606354,1309.4026923122774,4787.794205991407,260,0.3006750928630092,3,1.2668824119698625,1.549097583073003
Lentil (Masur)(Whole),0.039685832245418225,283.6279069767442,1035.762570226697,43,0.0716212516051765,0,-1.434574840897302,0.017151276553553318
Lime,0.14506705067202366,931.7460317460317,5766.733100316124,63,0.2819099248714158,1,1.0782238012528287,0.3456914155613442
Linseed,0.01293800667809317,75.85714285714286,512.6437080746933,7,0.028702265177932,0,-1.9279135725317578,-0.20594996681467626
Little gourd (Kundru),0.27196355601720573,822.1621621621622,1063.2163368661052,37,0.1407201957174541,0,-0.2924670266659257,-0.6970260774153221
Long Melon(Kakri),0.178125,750.0,1272.7922061357856,2,0.1012913913361561,0,-0.7159442310174969,-0.7236811037785161
Mahua,0.1136363636363636,250.0,565.685424949238,2,0.0563570890264372,0,-1.4655148164806977,-0.5179909123024599
Mahua Seed(Hippe seed),0.2272727272727272,500.0,0.0,2,0.0323840253493348,0,-1.2956737724195035,-1.022710094842076
Maize,0.11634122940079704,269.6842105263158,486.47754125181854,165,0.1097545377065181,0,-1.1124436693600486,0.675092702161405
Mango,0.24943392131731243,1491.6666666666667,4178.94397273674,12,0.2279270691987929,0,0.9974733454407513,-0.6712171368949411
Mango (Raw-Ripe),0.14760408383943516,1407.0833333333333,6069.116506088319,96,0.3515844643500049,1,1.720386852544315,0.6085084650462352
Marigold(Calcutta),0.0953044082354427,1034.4827586206898,5873.067232648697,29,0.2671030515582991,1,0.9394263605147506,0.20427089892595818
Mashrooms,0.15004659178391636,1203.7037037037037,8879.92692137333,54,0.3726675426556729,1,2.267176932499721,0.5265084286088407
Masur Dal,0.034368686236418394,323.6,903.7994799732959,25,0.0537954670783998,0,-1.548752332403865,-0.15004110603849233
Mataki,0.14134949595369625,1339.5,2079.6010434696364,2,0.1226075918281023,0,-0.25543089738951885,-0.7150746431339379
Methi Seeds,0.10480355644231734,677.0,1695.739408888389,7,0.1126442679333439,0,-0.7865281132716817,-0.4032343445033237
Methi(Leaves),0.40733779982872537,1101.0833333333333,3740.7542374702343,12,0.2896378209624736,1,1.3835826859368494,-0.8641617271408325
Mint(Pudina),0.1275852371296585,505.10759493670884,1391.091284475295,158,0.1657323368205263,0,-0.5333731010282267,0.7041952994053852
Moath Dal,0.00469483568075115,50.0,3676.9552621700473,2,0.1425302362715228,0,-0.7962567623967186,0.2004930873442721
Mousambi(Sweet Lime),0.14873514193390217,516.3620689655172,1556.2147113705287,114,0.1593179405918786,0,-0.5018501795018129,0.33719557822873497
Mustard,0.05375922101012715,318.76146788990826,375.46567303495385,109,0.0610070390562458,0,-1.5234110488461376,0.34469388621204533
Mustard Oil,0.017893846502169172,236.96969696969697,818.4378597688585,33,0.0454055541149287,0,-1.6814201593438292,-0.04711745898507822
Nutmeg,0.025,500.0,2828.42712474619,2,0.0975161904273042,0,-0.9082514319924048,-0.15142425977381566
Onion,0.1625855937404521,695.5044404973357,1743.8932931477998,546,0.346086574840856,3,0.8013964880710361,3.5776899427132536
Onion Green,0.15370389846192062,687.8690476190476,1136.3024151825266,168,0.1463328048352409,0,-0.5162514216109146,0.5714065182598717
Orange,0.28359703404785536,1912.6984126984128,4581.973265598178,60,0.2826485402805062,1,1.6504777502121522,-0.42918054905039627
Paddy(Dhan)(Basmati),0.11127911995875348,273.28,266.78650640540263,25,0.0479086278597138,0,-1.5444659697409262,-0.400581192699757
Paddy(Dhan)(Common),0.05802080068930786,134.11042944785277,294.859369902653,150,0.0849653460151095,0,-1.481975337667754,0.7213632413051845
Papaya,0.1405305242318331,413.1081730769231,870.5556870412291,208,0.1515000295864286,3,-0.6856343346194825,0.9644998814005645
Papaya (Raw),0.14966668362008834,275.0,890.7260281045217,8,0.0982454579244101,0,-1.1033261042396838,-0.46887116082653846
Pear(Marasebu),0.2986704718556734,1311.1109523809523,3376.2327030536635,18,0.2368915356839059,0,0.9106412744630272,-0.7208347134867696
Peas Wet,0.3395048147515252,2895.8333333333335,4323.794545924022,24,0.2702067141765579,1,2.1303732588386888,-1.1816355349031569
Peas cod,0.09648036604605395,937.5,4405.632555523181,8,0.198412868381751,0,0.26653045088154903,-0.13849655408299488
Peas(Dry),0.04468617801697322,315.0,1965.0277583049788,11,0.116182446516371,0,-1.033925488382877,-0.06500669591197483
Pegeon Pea (Arhar Fali),0.3588235294117647,2000.0,2474.8737341529163,2,0.1805594453292916,0,0.9374424194191711,-1.4052958871758896
Pepper ungarbled,0.0024354218880534503,150.0,1873.8329701443508,2,0.0521308004371052,0,-1.536141683961344,-0.12734493677174155
Persimon(Japani Fal),0.7172222222222222,3300.0,758.287544405155,5,0.1825539424744632,2,2.0961828925808743,-2.9167099395999396
Pineapple,0.26085454046289575,1109.3617021276596,5179.999874990624,47,0.3256663233208988,1,1.5160813779612314,-0.056151519232885146
Plum,0.8216374269005847,3533.3333333333335,2456.793302932368,3,0.2768998858986567,2,3.2399725372358983,-3.006773194693529
Pointed gourd (Parval),0.11467041514654755,411.8032786885246,1120.356329928532,61,0.1192115600118807,0,-0.9429713485255906,0.0037952787710970903
Pomegranate,0.2668270936500405,2670.109489051095,5815.604522563377,132,0.3417625898648194,1,2.549022903746985,0.0521951142627429
Potato,0.13467033669071837,399.0055147058824,1736.6732463426572,536,0.3658959932820475,3,0.6733402186168939,3.7456451456018836
Pumpkin,0.16351034692758773,289.4584450402145,738.2926444062274,373,0.2347088325281062,3,-0.2253118036515094,2.236829254112723
Raddish,0.14203047580201683,372.94466403162056,987.0766034732491,253,0.1695468164641436,3,-0.5652196384571933,1.318889137706731
Ragi (Finger Millet),0.1349968284909805,475.0,691.3072881625557,6,0.0660631594271372,0,-1.231643812896004,-0.5962309332551179
Rajgir,0.1927006553913647,662.1666666666666,2643.204242329122,6,0.1613504637752677,0,-0.16574135471862053,-0.5081434312189552
Rice,0.081557786853769,311.641975308642,629.1758832013089,146,0.10561192994428,0,-1.1783523664380091,0.6358852608643355
Ridgeguard(Tori),0.14502669112329516,446.4718614718615,1172.5862762257298,230,0.1783432015343828,3,-0.4589870884685445,1.1672241658689089
Rose(Local),0.13245149911816578,1537.037037037037,5189.843247582044,27,0.2483872301665245,1,1.0472278735344556,-0.14935078307405827
Round gourd,0.22841422391087032,357.14285714285717,840.133209392302,7,0.1168554797914508,0,-0.7987333920553452,-0.6880640495147257
Rubber,0.006450925706825039,141.8,614.0032573203503,4,0.0223344331178147,0,-1.9222396761144553,-0.24171049843756562
Seemebadnekai,0.21666666666666665,400.0,353.5533905932738,2,0.063717219366457,0,-1.1534901598445766,-0.8614413233109547
Seetapal,0.768061568061568,3050.0,1730.2456472998279,6,0.2398341188352709,2,2.5591419322709212,-2.7981210648208568
"Sesamum(Sesame,Gingelly,Til)",0.19907401638627864,2448.75,1721.9058831734676,37,0.1461203434733305,0,0.48246503306454563,-0.9524258148343857
Snakeguard,0.17164803655263702,433.25471698113205,1143.9133418286197,212,0.2145641690682567,3,-0.25162576567141315,1.0754170294636114
Soanf,0.21857014274640316,1347.142857142857,394.7136997393234,7,0.0691954888225805,0,-0.6508888532621855,-1.1143757290314702
Soyabean,0.16103117682713383,688.9565217391304,343.6236617290437,103,0.0804546222846853,0,-1.0055107278082505,-0.08048283428173313
Spinach,0.2597252781925998,512.3673469387755,1243.9124645198128,49,0.1701053622597338,0,-0.29256241551945145,-0.39737653717415
Sponge gourd,0.1703704915348022,324.54545454545456,580.1058238919163,44,0.1048806923520843,0,-1.0382030451980486,-0.3027151792077954
Squash(Chappal Kadoo),0.2532233198899865,400.0,804.3285674675769,9,0.1303368867618505,0,-0.6618397870509445,-0.7264123831621437
Sugar,0.018251919759142074,75.0,34.01024005459872,8,0.0058926566899849,0,-2.1172849713169377,-0.292445665032344
Sunflower,0.08716684488358153,427.4,987.1701980914943,5,0.0704697368511766,0,-1.2902647113763654,-0.4228164815178779
Suva (Dill Seed),0.189290967260163,1378.3333333333333,966.8192049188926,6,0.0903786345653351,0,-0.4929983633140214,-0.9669710433387785
Sweet Potato,0.11943129121632422,550.0,1258.2787076488453,50,0.1106281713459769,0,-0.8830857882335063,-0.14582984094590523
Sweet Pumpkin,0.1907471612515609,243.47826086956522,556.1549248143515,23,0.0971783873156391,0,-1.082757844378117,-0.497791060018698
Tamarind Fruit,0.1020685323996582,1033.6666666666667,2742.962342758847,30,0.1507174067839558,0,-0.21626400295190876,-0.22164627422908775
Tapioca,0.14624306429898548,463.5514018691589,615.7884930488702,107,0.101281536383549,0,-0.9968599624355406,0.12680081028176132
Taramira,0.0682376043200785,350.0,282.842712474619,2,0.0274422248040727,0,-1.7170109990838565,-0.5011355111150522
Tender Coconut,0.18704486774149692,566.1538461538462,917.7123260921904,65,0.1264256577794633,0,-0.6987647574490377,-0.22246253278880979
Thondekai,0.11917035696402226,429.2682926829268,879.927406603123,82,0.1060680202863238,0,-1.0193786990158509,0.07759533854188325
Tinda,0.18709636427100274,581.8181818181819,1483.3775955262001,11,0.1329090230591336,0,-0.5816266646086596,-0.5448628640860832
Tomato,0.1667335180396081,616.2284172661871,1394.0455497912308,553,0.3151640113446516,3,0.5636060752551976,3.5387522430225467
Tube Flower,0.12843915343915344,5666.666666666667,15105.186747162932,6,0.5493618667922565,1,6.4349623288396165,-0.45057238800831667
Tube Rose(Loose),0.1354497354497354,1000.0,1900.29237516523,9,0.1199789367468034,0,-0.47884526811862976,-0.5577910704808127
Turmeric,0.0944982227750082,1162.7142857142858,1950.4936737730197,5,0.1066471080380421,0,-0.5522136472767434,-0.5470911449719934
Turmeric (raw),0.8426573426573427,5000.0,3075.914498161482,2,0.3186957815640296,2,4.322524856196495,-3.401009931965544
Turnip,0.17106140047316515,752.9411764705883,1455.920973938126,17,0.1145988193550483,0,-0.6231293566416816,-0.5633375169482561
Water Melon,0.31098826174929367,562.1621621621622,943.0140643307105,37,0.1405976558365725,0,-0.35004246648156784,-0.7373113454885195
Wheat,0.07878143638810126,213.57658959537574,207.93939336432902,316,0.1210933510223199,3,-1.1356944496590555,1.8116535118675297
White Peas,0.08407774322220812,475.5263157894737,1174.7421640712414,19,0.092508579868169,0,-1.1253119850003017,-0.2703506128474104
White Pumpkin,0.1465201465201465,133.33333333333334,372.6879838864319,3,0.0679672159465043,0,-1.4280166277130795,-0.546849690585214
Wood,0.11564977715224017,60.833333333333336,66.23191577077222,6,0.0345689457409724,0,-1.7520537819043978,-0.5137940692690119
Yam (Ratalu),0.11386151405554262,931.5068493150685,2181.3464764985697,73,0.1491739830820105,0,-0.3305460127135345,0.03458315393981092
buttery,0.04,200.0,1322.8756555322952,3,0.0714946881618466,0,-1.443014080831963,-0.21015459690102434
gulli,0.0,0.0,424.26406871192853,2,0.023818441388074,0,-2.039730939879338,-0.1917169126474291
