commodity,std_modal_price,mean_price_range,mean_price_spread_ratio,count_records,norm_std_modal_price,norm_mean_price_range,norm_mean_price_spread_ratio,norm_count_records,risk_index,rank,risk_level
Tube Flower,15105.19,5666.67,0.13,6,0.9999999999999999,0.8768704409211466,0.15476190476190477,0.0071301247771836,0.6947265257064433,1,High Risk
Garlic,14662.89,4124.89,0.2,193,0.9707186735155267,0.6382927033074502,0.2380952380952381,0.3404634581105169,0.6614406738285451,2,High Risk
Black pepper,11630.67,6462.38,0.1,13,0.7699783981532174,1.0,0.11904761904761905,0.0196078431372549,0.6337616673845363,3,High Risk
Turmeric (raw),3075.91,5000.0,0.84,2,0.20363265870869546,0.7737087574546838,1.0,0.0,0.5135656907198833,4,High Risk
Jasmine,9938.94,4565.22,0.11,23,0.6579817930128651,0.7064301387414544,0.13095238095238096,0.0374331550802139,0.50505555052608,5,High Risk
Fish,9242.82,4345.45,0.21,11,0.6118969705114599,0.6724225440162912,0.25,0.016042780748663103,0.4980898294843376,6,High Risk
Arecanut(Betelnut/Supari),14062.78,1366.0,0.07,11,0.9309899445157591,0.21137723253661964,0.08333333333333334,0.016042780748663103,0.4540800923088225,7,High Risk
Kakada,10618.38,3111.11,0.1,9,0.7029623592950501,0.4814186104809683,0.11904761904761905,0.0124777183600713,0.4506678225078415,8,High Risk
Dry Chillies,4259.89,4750.0,0.43,4,0.28201498954994936,0.7350233195819497,0.5119047619047619,0.0035650623885918,0.43605045031437617,9,High Risk
Plum,2456.79,3533.33,0.82,3,0.1626454218715554,0.5467536727954716,0.9761904761904762,0.0017825311942959,0.42450061894478847,10,High Risk
Ginger(Green),8847.99,1906.73,0.18,297,0.5857582724878004,0.2950507398203139,0.21428571428571427,0.5258467023172906,0.41826034403008633,11,High Risk
Seetapal,1730.25,3050.0,0.77,6,0.11454672202070942,0.47196234204735715,0.9166666666666666,0.0071301247771836,0.37145373723354264,12,High Risk
Pomegranate,5815.6,2670.11,0.27,137,0.38500674271558316,0.4131774980734652,0.32142857142857145,0.24064171122994651,0.36630583191698174,13,High Risk
Persimon(Japani Fal),758.29,3300.0,0.72,5,0.050200626407214996,0.5106477799200914,0.8571428571428571,0.005347593582887699,0.34523791532577364,14,High Risk
Mashrooms,8879.93,1203.7,0.15,54,0.5878727775023022,0.1862626462696406,0.17857142857142858,0.0926916221033868,0.33601135280643746,15,High Risk
Peas Wet,4323.79,2895.83,0.34,24,0.2862453236271771,0.4481058062199994,0.40476190476190477,0.0392156862745098,0.3338038208967026,16,High Risk
Betal Leaves,6154.0,2555.0,0.19,20,0.4074096386738597,0.39536517505934343,0.2261904761904762,0.0320855614973262,0.3300200593751748,17,High Risk
Ginger(Dry),7710.23,1053.04,0.21,23,0.5104358170933301,0.16294925399001606,0.25,0.0374331550802139,0.30680241854235824,18,High Risk
Green Peas,8372.86,1309.04,0.08,25,0.5543035208428361,0.20256314237169587,0.09523809523809523,0.040998217468805706,0.30563779184314277,19,High Risk
Ajwan,2456.11,3525.0,0.32,3,0.16260040423192293,0.5454646740055521,0.38095238095238093,0.0017825311942959,0.30504829320434057,20,High Risk
Apple,4055.45,1797.2,0.28,255,0.2684805685992695,0.27810187577951156,0.33333333333333337,0.45098039215686275,0.30258749605591423,21,High Risk
Fig(Anjura/Anjeer),5678.91,2250.0,0.16,4,0.3759575351253443,0.34816894085460776,0.19047619047619047,0.0035650623885918,0.29328544064061735,22,High Risk
Kabuli Chana(Chickpeas-White),3565.11,2854.6,0.25,10,0.23601887827958468,0.4417258038060281,0.2976190476190476,0.014260249554367199,0.2878751269328885,23,High Risk
Orange,4581.97,1912.7,0.28,63,0.30333746215704666,0.29597454807671475,0.33333333333333337,0.1087344028520499,0.28766745623770473,24,High Risk
Mango (Raw-Ripe),6069.12,1407.08,0.15,96,0.4017903780091478,0.2177340236878673,0.17857142857142858,0.1675579322638146,0.27850643725068647,25,High Risk
Lemon,4787.79,1309.4,0.14,260,0.31696324243521595,0.20261884940223263,0.16666666666666669,0.45989304812834225,0.2668935899409237,26,High Risk
Pineapple,5180.0,1109.36,0.26,47,0.34292849014146787,0.17166430943398558,0.30952380952380953,0.0802139037433155,0.2585968411658763,27,High Risk
Methi(Leaves),3740.75,1101.08,0.41,12,0.24764666978700695,0.17038304773164065,0.4880952380952381,0.017825311942959,0.2495751610476385,28,High Risk
French Beans (Frasbean),6215.63,690.67,0.17,45,0.41148969327760854,0.1068754855022453,0.20238095238095238,0.0766488413547237,0.24479959757337982,29,High Risk
Rose(Local),5189.84,1537.04,0.13,27,0.34357992186791425,0.23784426171162945,0.15476190476190477,0.044563279857397504,0.24419395619877524,30,High Risk
Pegeon Pea (Arhar Fali),2474.87,2000.0,0.36,2,0.1638423614664893,0.30948350298187355,0.42857142857142855,0.0,0.2440962811954435,31,High Risk
Lime,5766.73,931.75,0.15,63,0.3817714308790554,0.14418062695168032,0.17857142857142858,0.1087344028520499,0.24255048643661697,32,High Risk
Mango,4178.94,1491.67,0.25,12,0.27665590436134857,0.23082362844648566,0.2976190476190476,0.017825311942959,0.24121579099659055,33,High Risk
Cummin Seed(Jeera),1372.66,3410.19,0.15,27,0.09087340179104003,0.5276987735168777,0.17857142857142858,0.044563279857397504,0.23482960647150478,34,High Risk
Marigold(Calcutta),5873.07,1034.48,0.1,29,0.3888113952886391,0.16007724708234428,0.11904761904761905,0.0481283422459893,0.23217009027428168,35,High Risk
Coriander(Leaves),4095.24,920.34,0.16,203,0.27111476254188127,0.14241502356716876,0.19047619047619047,0.3582887700534759,0.22509452718748882,36,High Risk
Pear(Marasebu),3376.23,1311.11,0.3,21,0.2235145668475537,0.2028834577972821,0.35714285714285715,0.0338680926916221,0.22508624477593978,37,Medium Risk
Green Chilli,2621.11,621.39,0.15,480,0.1735238020839195,0.0961549769589532,0.17857142857142858,0.8520499108734403,0.2191752907228835,38,Medium Risk
Ashgourd,4769.75,359.67,0.18,184,0.31576895093673096,0.05565596575874523,0.21428571428571427,0.3244206773618538,0.21830358069564418,39,Medium Risk
Onion,1743.89,695.5,0.16,563,0.11544972290980782,0.10762288816194653,0.19047619047619047,0.9999999999999999,0.21656199370774518,40,Medium Risk
Grapes,3174.06,1671.05,0.2,38,0.2101304253703528,0.2585812038289299,0.2380952380952381,0.0641711229946524,0.21566269121533294,41,Medium Risk
"Sesamum(Sesame,Gingelly,Til)",1721.91,2448.75,0.2,44,0.11399459391109942,0.3789238639634314,0.2380952380952381,0.0748663101604278,0.21438067538855957,42,Medium Risk
Chili Red,3860.92,1833.33,0.1,6,0.2556022135438217,0.2836926952608791,0.11904761904761905,0.0071301247771836,0.21187123028303456,43,Medium Risk
Field Pea,3500.0,1270.0,0.24,10,0.2317084392847756,0.1965220243934897,0.2857142857142857,0.014260249554367199,0.21020886513025103,44,Medium Risk
Banana,1776.95,835.3,0.19,440,0.11763837462488058,0.1292557850203795,0.2261904761904762,0.7807486631016043,0.20914504690432173,45,Medium Risk
Tomato,1394.05,616.23,0.17,556,0.09228947136712612,0.09535650952125997,0.20238095238095238,0.9875222816399286,0.2047511600434118,46,Medium Risk
Carrot,3232.16,757.11,0.16,225,0.21397678546248008,0.11715652747130313,0.19047619047619047,0.39750445632798576,0.19858335615441966,47,Medium Risk
Cowpea(Veg),4409.97,591.14,0.15,105,0.2919506474264805,0.09147403897635235,0.17857142857142858,0.1836007130124777,0.19829682767903142,48,Medium Risk
Karbuja(Musk Melon),2179.71,1190.83,0.35,12,0.14430205776954808,0.18427111992795223,0.41666666666666663,0.017825311942959,0.19811802361383413,49,Medium Risk
Brinjal,1404.28,480.14,0.18,539,0.0929667220339499,0.07429770456085838,0.21428571428571427,0.9572192513368983,0.19805506817267016,50,Medium Risk
Copra,2285.53,1850.0,0.19,6,0.15130759692529522,0.286272240258233,0.2261904761904762,0.0071301247771836,0.1923558185634016,51,Medium Risk
Potato,1736.67,399.01,0.13,544,0.11497174150076893,0.061743506262398676,0.15476190476190477,0.9661319073083778,0.19207732016224593,52,Medium Risk
Colacasia,4362.55,527.96,0.12,132,0.288811329086228,0.08169745511715498,0.14285714285714285,0.23172905525846701,0.19177810226691297,53,Medium Risk
Coconut,3605.83,599.89,0.14,187,0.23871464046463498,0.09282802930189805,0.16666666666666669,0.32976827094474154,0.1896444254042309,54,Medium Risk
Peas cod,4405.63,937.5,0.1,8,0.2916633289617674,0.1450703920227532,0.11904761904761905,0.0106951871657754,0.18506549171763426,55,Medium Risk
Amphophalus,5592.01,381.74,0.06,23,0.37020454558995947,0.059071116214150204,0.07142857142857142,0.0374331550802139,0.18383218289396455,56,Medium Risk
Cauliflower,1875.56,713.46,0.2,292,0.12416659439570106,0.11040205001872375,0.2380952380952381,0.5169340463458111,0.1820997050175263,57,Medium Risk
Bitter gourd,2095.75,497.71,0.14,386,0.1387437033231624,0.07701651713455414,0.16666666666666669,0.6844919786096256,0.18038496766392711,58,Medium Risk
Drumstick,2556.13,961.97,0.13,203,0.16922196940256956,0.14885692268173645,0.15476190476190477,0.3582887700534759,0.1791271225232773,59,Medium Risk
Capsicum,2918.92,766.25,0.15,157,0.1932395421706049,0.1185708670799303,0.17857142857142858,0.27629233511586454,0.1762105962180932,60,Medium Risk
Chilly Capsicum,1361.97,1075.0,0.37,8,0.0901656980150531,0.16634738285275702,0.44047619047619047,0.0106951871657754,0.17513525087366397,61,Medium Risk
Green Gram Dal (Moong Dal),2432.51,1382.28,0.17,29,0.1610380273270313,0.21389642825089208,0.20238095238095238,0.0481283422459893,0.17387316410686957,62,Medium Risk
Kartali (Kantola),2189.13,1450.0,0.19,4,0.14492568448328025,0.2243755396618583,0.2261904761904762,0.0035650623885918,0.17087753716882403,63,Medium Risk
Cucumbar(Kheera),1531.68,545.95,0.22,293,0.10140090922391574,0.08448125922647694,0.2619047619047619,0.5187165775401069,0.17015735159247247,64,Medium Risk
Cotton,851.62,1658.72,0.25,54,0.0563792974467716,0.25667323803304665,0.2976190476190476,0.0926916221033868,0.16834666212277086,65,Medium Risk
Bhindi(Ladies Finger),1081.84,379.12,0.17,449,0.07162041655881189,0.05866569282524395,0.20238095238095238,0.7967914438502673,0.16640320933231517,66,Medium Risk
Guar,1574.85,1231.58,0.26,19,0.10425886731646539,0.1905768463012079,0.30952380952380953,0.030303030303030304,0.16381166575201345,67,Medium Risk
Green Gram (Moong)(Whole),1498.03,1410.51,0.19,59,0.09917319808622069,0.21826478789548123,0.2261904761904762,0.1016042780748663,0.16054723864871454,68,Medium Risk
Black Gram (Urd Beans)(Whole),1632.35,1268.54,0.19,74,0.10806550596185813,0.19629610143631293,0.2261904761904762,0.1283422459893048,0.16018735265266287,69,Medium Risk
Green Avare (W),2010.74,944.67,0.14,150,0.13311583634499133,0.14617989038094323,0.16666666666666669,0.2638146167557932,0.15681509666119214,70,Medium Risk
Amaranthus,2152.41,482.99,0.18,194,0.1424947319431268,0.07473871855260755,0.21428571428571427,0.3422459893048128,0.15650125013065713,71,Medium Risk
Cabbage,1239.95,404.16,0.19,323,0.08208767979747357,0.06254042628257701,0.2261904761904762,0.5721925133689839,0.15405454637875615,72,Medium Risk
Guava,1625.71,921.97,0.19,127,0.1076259219513293,0.14266725262209898,0.2261904761904762,0.22281639928698752,0.15337027973395542,73,Medium Risk
Corriander seed,1116.71,1452.83,0.22,24,0.0739288946382005,0.22481345881857764,0.2619047619047619,0.0392156862745098,0.15331811650925686,74,Medium Risk
Mataki,2079.6,1339.5,0.14,2,0.13767453438189123,0.2072765761221098,0.16666666666666669,0.0,0.15058611992272275,75,Medium Risk
Tamarind Fruit,2742.96,1033.67,0.1,30,0.1815905658915909,0.15995190626363662,0.11904761904761905,0.049910873440285206,0.1494224093892797,76,Medium Risk
Bottle gourd,670.97,328.23,0.2,386,0.044419831859115966,0.05079088509187018,0.2380952380952381,0.6844919786096256,0.14907344375121764,77,Medium Risk
Banana - Green,2037.15,382.87,0.13,255,0.13486424202542305,0.05924597439333496,0.15476190476190477,0.45098039215686275,0.14776990929623696,78,Medium Risk
Rajgir,2643.2,662.17,0.19,6,0.17498621334786252,0.10246534558475359,0.2261904761904762,0.0071301247771836,0.1466851967303847,79,Medium Risk
Beetroot,1625.98,579.06,0.16,192,0.10764379660235984,0.08960475861834184,0.19047619047619047,0.33868092691622104,0.14190227701330668,80,Medium Risk
Ground Nut Seed,2550.22,739.18,0.16,6,0.16883071315223439,0.11438200786707063,0.19047619047619047,0.0071301247771836,0.1406551381939714,81,Medium Risk
Yam (Ratalu),2181.35,931.51,0.11,73,0.14441062972395577,0.1441434889313225,0.13095238095238096,0.1265597147950089,0.13985374623895616,82,Medium Risk
Beans,1829.75,735.17,0.13,148,0.12113386193751947,0.11376149344359197,0.15476190476190477,0.26024955436720143,0.13955932919718647,83,Medium Risk
Pumpkin,738.29,289.46,0.16,373,0.048876578182730564,0.04479154738656655,0.19047619047619047,0.6613190730837789,0.1372152408926782,84,Medium Risk
Little gourd (Kundru),1063.22,822.16,0.27,37,0.07038772766181689,0.12722247840578857,0.32142857142857145,0.062388591800356503,0.13684640805221326,85,Medium Risk
Leafy Vegetable,1689.15,662.0,0.25,10,0.11182580291939392,0.10243903948700014,0.2976190476190476,0.014260249554367199,0.13641186749310388,86,Medium Risk
Groundnut,980.02,1011.33,0.19,101,0.06487968704796165,0.1564949755353291,0.2261904761904762,0.1764705882352941,0.13578552154140805,87,Medium Risk
Suva (Dill Seed),966.82,1378.33,0.19,6,0.06400581521980193,0.21328519833250287,0.2261904761904762,0.0071301247771836,0.13553899330348523,88,Medium Risk
Tube Rose(Loose),1900.29,1000.0,0.14,9,0.12580378002527606,0.15474175149093677,0.16666666666666669,0.0124777183600713,0.13132514262673192,89,Medium Risk
Water Melon,943.01,562.16,0.31,37,0.06242953580855321,0.08698962301814502,0.36904761904761907,0.062388591800356503,0.13111708421842425,90,Medium Risk
Cluster beans,1692.35,443.05,0.13,187,0.11203765063531142,0.06855833299805954,0.15476190476190477,0.32976827094474154,0.12931176820039755,91,Medium Risk
Snakeguard,1143.91,433.25,0.17,212,0.07572960022349934,0.06704186383344836,0.20238095238095238,0.37433155080213903,0.12831374479583862,92,Medium Risk
Ridgeguard(Tori),1172.59,446.47,0.15,231,0.07762828537741,0.06908754978815854,0.17857142857142858,0.40819964349376114,0.1283118291510734,93,Medium Risk
Bunch Beans,282.84,600.0,0.39,2,0.018724689990658835,0.09284505089456206,0.4642857142857143,0.0,0.128200534121775,94,Medium Risk
Turmeric,1950.49,1162.71,0.09,7,0.129127141068732,0.17991978187602709,0.10714285714285714,0.008912655971479501,0.1279466280160203,95,Medium Risk
Onion Green,1136.3,687.87,0.15,168,0.075225799874083,0.10644220859807067,0.17857142857142858,0.29590017825311943,0.12732728606865207,96,Medium Risk
Spinach,1243.91,512.37,0.26,49,0.08234984134592149,0.07928503121141127,0.30952380952380953,0.0837789661319073,0.1270081044197446,97,Medium Risk
Soanf,394.71,1347.14,0.22,7,0.026130753734312506,0.20845880310350057,0.2619047619047619,0.008912655971479501,0.1262621604028755,98,Medium Risk
Amla(Nelli Kai),1543.57,847.5,0.13,80,0.10218805589337174,0.1311436343885689,0.15476190476190477,0.1390374331550802,0.12507443694180834,99,Medium Risk
Elephant Yam (Suran),1502.54,776.13,0.12,115,0.09947177096084192,0.12009971558466076,0.14285714285714285,0.2014260249554367,0.12453265412670723,100,Medium Risk
Jowar(Sorghum),758.19,736.44,0.26,39,0.05019400616609258,0.11395801546798548,0.30952380952380953,0.0659536541889483,0.1227651344304894,101,Medium Risk
Raddish,987.08,372.94,0.14,253,0.06534707607120466,0.05770938880102996,0.16666666666666669,0.4474153297682709,0.12152651337895129,102,Medium Risk
Custard Apple (Sharifa),1602.01,800.0,0.15,37,0.10605692480531524,0.12379340119274941,0.17857142857142858,0.062388591800356503,0.1215139351742723,103,Medium Risk
Mousambi(Sweet Lime),1556.21,516.36,0.15,116,0.1030248543712459,0.07990245079986011,0.17857142857142858,0.2032085561497326,0.12121581831771538,104,Medium Risk
Mint(Pudina),1391.09,505.11,0.13,158,0.09209351222990242,0.07816160609558707,0.15476190476190477,0.27807486631016043,0.11904575430403408,105,Medium Risk
Kinnow,500.0,583.33,0.32,3,0.0331012056121108,0.09026550589720815,0.38095238095238093,0.0017825311942959,0.11668886332391257,106,Medium Risk
Turnip,1455.92,752.94,0.17,17,0.09638541454956871,0.11651125436758594,0.20238095238095238,0.0267379679144385,0.11665752939773759,107,Medium Risk
Chikoos(Sapota),1088.53,734.88,0.19,43,0.07206331068990193,0.11371661833565962,0.2261904761904762,0.0730837789661319,0.11548678291136709,108,Medium Risk
Coconut Oil,1567.69,1250.0,0.06,6,0.10378485805209996,0.19342718936367095,0.07142857142857142,0.0071301247771836,0.11454082679337392,109,Medium Risk
Duster Beans,2545.58,500.0,0.1,2,0.168523533964154,0.07737087574546839,0.11904761904761905,0.0,0.11443020011882593,110,Medium Risk
Kulthi(Horse Gram),747.36,1070.14,0.18,7,0.04947703405253426,0.1655953379405111,0.21428571428571427,0.008912655971479501,0.11321782345745783,111,Medium Risk
Tinda,1483.38,581.82,0.19,11,0.09820333276178585,0.09003184585245684,0.2261904761904762,0.016042780748663103,0.11313326017341295,112,Medium Risk
Papaya,870.56,413.11,0.14,208,0.05763317111535835,0.0639253649584209,0.16666666666666669,0.3672014260249554,0.1122843538694985,113,Medium Risk
Isabgul (Psyllium),590.67,1450.0,0.12,4,0.03910377823781097,0.2243755396618583,0.14285714285714285,0.0035650623885918,0.11188210800396962,114,Medium Risk
Long Melon(Kakri),1272.79,750.0,0.18,2,0.084261766982077,0.11605631361820258,0.21428571428571427,0.0,0.11137874373543442,115,Medium Risk
Arhar (Tur/Red Gram)(Whole),1562.2,787.55,0.1,33,0.10342140681447899,0.12186686638668724,0.11904761904761905,0.05525846702317291,0.10726399315363887,116,Medium Risk
Tender Coconut,917.71,566.15,0.19,65,0.06075461480458041,0.08760704260659385,0.2261904761904762,0.1122994652406417,0.10705200046596974,117,Medium Risk
Cowpea (Lobia/Karamani),2196.53,547.14,0.09,7,0.14541558232633947,0.08466540191075114,0.10714285714285714,0.008912655971479501,0.10588569052948052,118,Medium Risk
Knool Khol,1392.34,496.15,0.13,78,0.0921762652439327,0.07677512000222828,0.15476190476190477,0.1354723707664884,0.10440266012727135,119,Medium Risk
Alsandikai,70.71,900.0,0.25,2,0.004681172497664709,0.13926757634184309,0.2976190476190476,0.0,0.10317655142542834,120,Medium Risk
Nutmeg,2828.43,500.0,0.02,2,0.18724888597892508,0.07737087574546839,0.023809523809523808,0.0,0.10287272187711531,121,Medium Risk
Methi Seeds,1695.74,677.0,0.1,7,0.11226207680936154,0.1047601657593642,0.11904761904761905,0.008912655971479501,0.10103366985822562,122,Medium Risk
Squash(Chappal Kadoo),804.33,400.0,0.25,9,0.053248585419978164,0.061896700596374706,0.2976190476190476,0.0124777183600713,0.10064002570672034,123,Medium Risk
Moath Dal,3676.96,50.0,0.0,2,0.24342361797501386,0.007737087574546838,0.0,0.0,0.0996905734623696,124,Medium Risk
Soyabean,343.62,688.96,0.16,115,0.022748472544867025,0.1066108771071958,0.19047619047619047,0.2014260249554367,0.09932049274088732,125,Medium Risk
Sweet Potato,1258.28,550.0,0.12,50,0.08330116999521356,0.08510796332001522,0.14285714285714285,0.0855614973262032,0.09598043529813888,126,Medium Risk
Wheat,207.94,213.58,0.08,346,0.013766129389964639,0.033049743283434276,0.09523809523809523,0.6131907308377896,0.09578806687241415,127,Medium Risk
Round gourd,840.13,357.14,0.23,7,0.05561863174180529,0.055264469127473154,0.27380952380952384,0.008912655971479501,0.09447996379401677,128,Medium Risk
Tapioca,615.79,463.55,0.15,107,0.04076678280776342,0.07173053890362374,0.17857142857142858,0.1871657754010695,0.09225673804858517,129,Medium Risk
Groundnut (Split),1032.38,702.5,0.13,2,0.0683460452996619,0.10870608042238308,0.15476190476190477,0.0,0.09090262319896064,130,Medium Risk
Indian Beans (Seam),1013.63,583.33,0.1,54,0.06710475008920774,0.09026550589720815,0.11904761904761905,0.0926916221033868,0.08700023782470803,131,Medium Risk
Chow Chow,707.67,370.4,0.12,125,0.0468494603510449,0.057316344752242974,0.14285714285714285,0.2192513368983957,0.08643124982735899,132,Medium Risk
Thondekai,879.93,429.27,0.12,82,0.05825348770852931,0.06642599166251442,0.14285714285714285,0.142602495543672,0.08606087070796181,133,Medium Risk
Pointed gourd (Parval),1120.36,411.8,0.11,61,0.0741705334391689,0.06372265326396777,0.13095238095238096,0.1051693404634581,0.0854924195916799,134,Medium Risk
Maize,486.48,269.68,0.12,171,0.032206149012359325,0.04173075554207583,0.14285714285714285,0.30124777183600715,0.08409789202259577,135,Medium Risk
Black Gram Dal (Urd Dal),1543.43,482.68,0.06,34,0.10217878755580034,0.07469074860964536,0.07142857142857142,0.0570409982174688,0.08326855371267493,136,Medium Risk
Bengal Gram(Gram)(Whole),683.54,501.36,0.07,133,0.04525199616820443,0.07758132452749605,0.08333333333333334,0.2335115864527629,0.08139302113747356,137,Medium Risk
Seemebadnekai,353.55,400.0,0.22,2,0.023405862488323548,0.061896700596374706,0.2619047619047619,0.0,0.08031230755519422,138,Medium Risk
Rice,629.18,311.64,0.08,162,0.04165323309405574,0.048223719434635534,0.09523809523809523,0.28520499108734404,0.07869652722436642,139,Medium Risk
Sponge gourd,580.11,324.55,0.17,44,0.038404680775283195,0.05022143544638353,0.20238095238095238,0.0748663101604278,0.0783911244362616,140,Medium Risk
Mahua Seed(Hippe seed),0.0,500.0,0.23,2,0.0,0.07737087574546839,0.27380952380952384,0.0,0.07797316748554528,141,Medium Risk
Peas(Dry),1965.03,315.0,0.04,12,0.13008972412793215,0.04874365171964508,0.047619047619047616,0.017825311942959,0.07796532588517181,142,Medium Risk
White Peas,1174.74,475.53,0.08,19,0.07777062056154209,0.07358434508648516,0.09523809523809523,0.030303030303030304,0.07526147382848447,143,Medium Risk
Sweet Pumpkin,556.15,243.48,0.19,23,0.03681847100235084,0.03767652165301328,0.2261904761904762,0.0374331550802139,0.07501175564296095,144,Low Risk
Jamun(Narale Hannu),0.0,1000.0,0.12,2,0.0,0.15474175149093677,0.14285714285714285,0.0,0.0749939540187096,145,Low Risk
Papaya (Raw),890.73,275.0,0.15,8,0.05896847374975091,0.04255398166000761,0.17857142857142858,0.0106951871657754,0.07313738842876591,146,Low Risk
Ragi (Finger Millet),691.31,475.0,0.13,6,0.04576638890341663,0.07350233195819496,0.15476190476190477,0.0071301247771836,0.07202264857892446,147,Low Risk
Sunflower,987.17,427.4,0.09,5,0.06535303428821483,0.06613662458722637,0.10714285714285714,0.005347593582887699,0.06794553187831405,148,Low Risk
Jack Fruit,687.21,328.57,0.14,7,0.04549495901739733,0.050843497287377096,0.16666666666666669,0.008912655971479501,0.06767563172365335,149,Low Risk
Lentil (Masur)(Whole),1035.76,283.63,0.04,43,0.06856980944959977,0.04388940297537439,0.047619047619047616,0.0730837789661319,0.057426932092874944,150,Low Risk
Paddy(Dhan)(Common),294.86,134.11,0.06,163,0.01952044297357398,0.020752416292449533,0.07142857142857142,0.28698752228163993,0.057018368591042735,151,Low Risk
Pepper ungarbled,1873.83,150.0,0.0,2,0.12405206422428315,0.023211262723640515,0.0,0.0,0.05658420450680542,152,Low Risk
Mustard,375.47,318.76,0.05,109,0.024857019342358486,0.049325480705251,0.05952380952380953,0.1907308377896613,0.055718297632246734,153,Low Risk
Bajra(Pearl Millet/Cumbu),206.9,227.29,0.1,85,0.01369727888229145,0.03517125269637502,0.11904761904761905,0.14795008912655971,0.05463482008400886,154,Low Risk
buttery,1322.88,200.0,0.04,3,0.08757784576029828,0.030948350298187353,0.047619047619047616,0.0017825311942959,0.05401770603681463,155,Low Risk
Mahua,565.69,250.0,0.11,2,0.03745004200542992,0.038685437872734194,0.13095238095238096,0.0,0.05277612435446842,156,Low Risk
White Pumpkin,372.69,133.33,0.15,3,0.024672976639155148,0.0206317177262866,0.17857142857142858,0.0017825311942959,0.05195124480726335,157,Low Risk
Castor Seed,454.97,348.15,0.06,48,0.030120111034684104,0.053873340781569634,0.07142857142857142,0.0819964349376114,0.05069540442781996,158,Low Risk
Masur Dal,903.8,323.6,0.03,25,0.05983373926445148,0.05007443078246714,0.03571428571428571,0.040998217468805706,0.050198503830258444,159,Low Risk
Paddy(Dhan)(Basmati),266.79,273.28,0.11,25,0.01766214129051008,0.04228782584744319,0.13095238095238096,0.040998217468805706,0.05004150220779375,160,Low Risk
Arhar Dal(Tur Dal),768.16,340.67,0.02,52,0.05085404420599806,0.05271587248041743,0.023809523809523808,0.089126559714795,0.049830940159908715,161,Low Risk
Coconut Seed,418.97,325.0,0.09,8,0.027736824230612127,0.05029106923455445,0.10714285714285714,0.0106951871657754,0.04868014060776015,162,Low Risk
Gur(Jaggery),527.75,176.88,0.04,81,0.03493832252358295,0.027370721003716895,0.047619047619047616,0.1408199643493761,0.04579235126929539,163,Low Risk
Jute,519.79,323.0,0.06,5,0.03441135133023814,0.049981585731572575,0.07142857142857142,0.005347593582887699,0.04357948989557008,164,Low Risk
Mustard Oil,818.44,236.97,0.02,33,0.05418270144235193,0.03666915285080729,0.023809523809523808,0.05525846702317291,0.04296157789640501,165,Low Risk
Taramira,282.84,350.0,0.07,2,0.018724689990658835,0.05415961302182787,0.08333333333333334,0.0,0.04040442656947856,166,Low Risk
Bengal Gram Dal (Chana Dal),525.96,224.78,0.03,23,0.034819820207491595,0.034782850900132764,0.03571428571428571,0.0374331550802139,0.035248956003915005,167,Low Risk
Wood,66.23,60.83,0.12,6,0.004384585695380197,0.009412940743193684,0.14285714285714285,0.0071301247771836,0.033862157550257115,168,Low Risk
Firewood,106.81,30.0,0.1,3,0.007071079542859109,0.004642252544728103,0.11904761904761905,0.0017825311942959,0.02820888450951548,169,Low Risk
Rubber,614.0,141.8,0.01,5,0.04064828049167206,0.021942380361414836,0.011904761904761904,0.005347593582887699,0.025757738044334427,170,Low Risk
Foxtail Millet(Navane),91.92,155.0,0.06,2,0.00608532563973045,0.0239849714810952,0.07142857142857142,0.0,0.023915335985935024,171,Low Risk
Barley (Jau),123.23,79.53,0.04,32,0.008158123135160828,0.012306611496074201,0.047619047619047616,0.053475935828877004,0.021826635809583817,172,Low Risk
Linseed,512.64,75.86,0.01,7,0.03393800408998496,0.011738709268102464,0.011904761904761904,0.008912655971479501,0.020369032394525054,173,Low Risk
Guar Seed(Cluster Beans Seed),189.84,138.57,0.03,7,0.012567865746806229,0.021442564504099107,0.03571428571428571,0.008912655971479501,0.019494038389957318,174,Low Risk
Coffee,251.66,133.33,0.01,3,0.01666049880868761,0.0206317177262866,0.011904761904761904,0.0017825311942959,0.015412920341742995,175,Low Risk
Kodo Millet(Varagu),494.97,0.0,0.0,2,0.032768207483652965,0.0,0.0,0.0,0.013107282993461186,176,Low Risk
gulli,424.26,0.0,0.0,2,0.028087034985988257,0.0,0.0,0.0,0.011234813994395304,177,Low Risk
Sugar,34.01,75.0,0.02,8,0.0022515440057357763,0.011605631361820258,0.023809523809523808,0.0106951871657754,0.01021373048932269,178,Low Risk
Kutki,95.46,17.5,0.0,2,0.006319682175464194,0.0027079806510913935,0.0,0.0,0.0033402670655130954,179,Low Risk
