commodity,count,mean_modal_price,median_modal_price,std_modal_price,mean_price_range,mean_price_spread_ratio
Ajwan,3,11550.0,12000.0,2456.11,3525.0,0.32
Alasande Gram,1,5714.0,5714.0,,5739.0,1.0
Alsandikai,2,3550.0,3550.0,70.71,900.0,0.25
Amaranthus,194,2940.1,2600.0,2152.41,482.99,0.18
Amla(Nelli Kai),80,6676.25,7000.0,1543.57,847.5,0.13
Amphophalus,23,7971.3,6600.0,5592.01,381.74,0.06
Apple,255,7692.8,6900.0,4055.45,1797.2,0.28
Arecanut(Betelnut/Supari),11,31309.0,33400.0,14062.78,1366.0,0.07
Arhar (Tur/Red Gram)(Whole),33,9308.21,9375.0,1562.2,787.55,0.1
Arhar Dal(Tur Dal),52,15150.96,15282.5,768.16,340.67,0.02
Asalia,1,11400.0,11400.0,,0.0,0.0
Ashgourd,184,2433.1,2000.0,4769.75,359.67,0.18
Bajra(Pearl Millet/Cumbu),85,2338.33,2325.0,206.9,227.29,0.1
Banana,440,4136.97,4000.0,1776.95,835.3,0.19
Banana - Green,255,3000.99,3000.0,2037.15,382.87,0.13
Barley (Jau),32,2301.34,2345.0,123.23,79.53,0.04
Beans,148,6476.9,6500.0,1829.75,735.17,0.13
Beetroot,192,3668.96,3500.0,1625.98,579.06,0.16
Bengal Gram Dal (Chana Dal),23,8387.39,8200.0,525.96,224.78,0.03
Bengal Gram(Gram)(Whole),133,7127.88,7197.0,683.54,501.36,0.07
Ber(Zizyphus/Borehannu),1,1000.0,1000.0,,1350.0,1.35
Betal Leaves,20,12402.5,12000.0,6154.0,2555.0,0.19
Bhindi(Ladies Finger),449,2436.75,2200.0,1081.84,379.12,0.17
Bitter gourd,386,3728.56,3500.0,2095.75,497.71,0.14
Black Gram (Urd Beans)(Whole),74,7611.55,7352.5,1632.35,1268.54,0.19
Black Gram Dal (Urd Dal),34,10270.76,10270.0,1543.43,482.68,0.06
Black pepper,13,61192.31,62000.0,11630.67,6462.38,0.1
Bottle gourd,386,1730.19,1520.0,670.97,328.23,0.2
Brinjal,539,2987.89,2800.0,1404.28,480.14,0.18
Bunch Beans,2,1700.0,1700.0,282.84,600.0,0.39
Cabbage,323,2539.62,2400.0,1239.95,404.16,0.19
Capsicum,157,5860.51,6000.0,2918.92,766.25,0.15
Cardamoms,1,220000.0,220000.0,,20000.0,0.09
Carrot,225,5376.95,5400.0,3232.16,757.11,0.16
Castor Seed,48,6241.31,6500.0,454.97,348.15,0.06
Cauliflower,292,4000.23,3792.5,1875.56,713.46,0.2
Chapparad Avare,1,3600.0,3600.0,,1000.0,0.28
Cherry,1,15000.0,15000.0,,10000.0,0.67
Chikoos(Sapota),43,4162.79,4000.0,1088.53,734.88,0.19
Chili Red,6,19766.67,20000.0,3860.92,1833.33,0.1
Chilly Capsicum,8,3331.25,3375.0,1361.97,1075.0,0.37
Chow Chow,125,3187.2,3000.0,707.67,370.4,0.12
Cloves,1,80000.0,80000.0,,5000.0,0.06
Cluster beans,187,3360.32,3000.0,1692.35,443.05,0.13
Coconut,187,4972.57,5000.0,3605.83,599.89,0.14
Coconut Oil,6,20583.33,20850.0,1567.69,1250.0,0.06
Coconut Seed,8,3812.5,3950.0,418.97,325.0,0.09
Coffee,3,21466.67,21500.0,251.66,133.33,0.01
Colacasia,132,5413.52,5000.0,4362.55,527.96,0.12
Copra,6,11753.83,12750.0,2285.53,1850.0,0.19
Coriander(Leaves),203,5712.9,5000.0,4095.24,920.34,0.16
Corriander seed,24,6445.83,6300.0,1116.71,1452.83,0.22
Cotton,54,6631.48,6900.0,851.62,1658.72,0.25
Cowpea (Lobia/Karamani),7,6585.71,6000.0,2196.53,547.14,0.09
Cowpea(Veg),105,4522.19,4000.0,4409.97,591.14,0.15
Cucumbar(Kheera),293,2781.2,2250.0,1531.68,545.95,0.22
Cummin Seed(Jeera),27,23000.19,23350.0,1372.66,3410.19,0.15
Custard Apple (Sharifa),37,4554.05,4000.0,1602.01,800.0,0.15
Drumstick,203,7640.14,8000.0,2556.13,961.97,0.13
Dry Chillies,4,12100.0,11500.0,4259.89,4750.0,0.43
Dry Fodder,1,420.0,420.0,,20.0,0.05
Duster Beans,2,5400.0,5400.0,2545.58,500.0,0.1
Elephant Yam (Suran),115,7138.28,7400.0,1502.54,776.13,0.12
Field Pea,10,6750.0,5000.0,3500.0,1270.0,0.24
Fig(Anjura/Anjeer),4,11750.0,10000.0,5678.91,2250.0,0.16
Firewood,3,353.33,415.0,106.81,30.0,0.1
Fish,11,20381.82,19000.0,9242.82,4345.45,0.21
Foxtail Millet(Navane),2,2675.0,2675.0,91.92,155.0,0.06
French Beans (Frasbean),45,5620.89,4900.0,6215.63,690.67,0.17
Garlic,193,25218.22,22000.0,14662.89,4124.89,0.2
Ghee,1,53250.0,53250.0,,100.0,0.0
Ginger(Dry),23,8083.04,5570.0,7710.23,1053.04,0.21
Ginger(Green),297,10862.36,10000.0,8847.99,1906.73,0.18
Grapes,38,10096.05,10000.0,3174.06,1671.05,0.2
Green Avare (W),150,5786.0,5450.0,2010.74,944.67,0.14
Green Chilli,480,4634.43,4000.0,2621.11,621.39,0.15
Green Gram (Moong)(Whole),59,7686.61,7370.0,1498.03,1410.51,0.19
Green Gram Dal (Moong Dal),29,9334.83,10125.0,2432.51,1382.28,0.17
Green Peas,25,15794.84,18300.0,8372.86,1309.04,0.08
Ground Nut Seed,6,5192.5,5932.5,2550.22,739.18,0.16
Groundnut,101,5482.11,5290.0,980.02,1011.33,0.19
Groundnut (Split),2,5520.0,5520.0,1032.38,702.5,0.13
Groundnut pods (raw),1,3750.0,3750.0,,2000.0,0.53
Guar,19,4773.84,4500.0,1574.85,1231.58,0.26
Guar Seed(Cluster Beans Seed),7,4971.43,4900.0,189.84,138.57,0.03
Guava,127,5469.29,5000.0,1625.71,921.97,0.19
Gur(Jaggery),81,4326.93,4380.0,527.75,176.88,0.04
Indian Beans (Seam),54,5762.04,6000.0,1013.63,583.33,0.1
Isabgul (Psyllium),4,12332.5,12375.0,590.67,1450.0,0.12
Jack Fruit,7,2335.71,2000.0,687.21,328.57,0.14
Jamun(Narale Hannu),2,8000.0,8000.0,0.0,1000.0,0.12
Jasmine,23,40652.17,40000.0,9938.94,4565.22,0.11
Jowar(Sorghum),39,2782.79,2500.0,758.19,736.44,0.26
Jute,5,5194.0,5200.0,519.79,323.0,0.06
Kabuli Chana(Chickpeas-White),10,10815.9,12387.5,3565.11,2854.6,0.25
Kakada,9,31000.0,30000.0,10618.38,3111.11,0.1
Karbuja(Musk Melon),12,4425.0,4250.0,2179.71,1190.83,0.35
Kartali (Kantola),4,7362.5,8000.0,2189.13,1450.0,0.19
Kinnow,3,2000.0,2000.0,500.0,583.33,0.32
Knool Khol,78,4121.79,4000.0,1392.34,496.15,0.13
Kodo Millet(Varagu),2,2950.0,2950.0,494.97,0.0,0.0
Kulthi(Horse Gram),7,6386.29,6650.0,747.36,1070.14,0.18
Kutki,2,3667.5,3667.5,95.46,17.5,0.0
Leafy Vegetable,10,2484.0,2250.0,1689.15,662.0,0.25
Lemon,260,10037.42,9375.0,4787.79,1309.4,0.14
Lentil (Masur)(Whole),43,6818.6,6800.0,1035.76,283.63,0.04
Lime,63,8033.65,5000.0,5766.73,931.75,0.15
Linseed,7,5704.29,5840.0,512.64,75.86,0.01
Little gourd (Kundru),37,3096.49,3000.0,1063.22,822.16,0.27
Long Melon(Kakri),2,4100.0,4100.0,1272.79,750.0,0.18
Lotus Sticks,1,5500.0,5500.0,,1000.0,0.18
Mahua,2,2600.0,2600.0,565.69,250.0,0.11
Mahua Seed(Hippe seed),2,2200.0,2200.0,0.0,500.0,0.23
Maize,171,2379.42,2349.0,486.48,269.68,0.12
Mango,12,9255.0,9450.0,4178.94,1491.67,0.25
Mango (Raw-Ripe),96,10132.19,9500.0,6069.12,1407.08,0.15
Marigold(Calcutta),29,11094.83,10000.0,5873.07,1034.48,0.1
Marigold(loose),1,3000.0,3000.0,,1000.0,0.33
Mashrooms,54,10722.39,5000.0,8879.93,1203.7,0.15
Masur Dal,25,8895.8,8515.0,903.8,323.6,0.03
Mataki,2,8279.5,8279.5,2079.6,1339.5,0.14
Methi Seeds,7,5317.86,5270.0,1695.74,677.0,0.1
Methi(Leaves),12,3227.42,1975.0,3740.75,1101.08,0.41
Mint(Pudina),158,4164.01,4000.0,1391.09,505.11,0.13
Moath Dal,2,8050.0,8050.0,3676.96,50.0,0.0
Mousambi(Sweet Lime),116,4040.34,3445.0,1556.21,516.36,0.15
Mustard,109,5898.14,5905.0,375.47,318.76,0.05
Mustard Oil,33,13350.3,13150.0,818.44,236.97,0.02
Nutmeg,2,22000.0,22000.0,2828.43,500.0,0.02
Onion,563,4848.02,4800.0,1743.89,695.5,0.16
Onion Green,168,4771.03,5000.0,1136.3,687.87,0.15
Orange,63,7458.73,6000.0,4581.97,1912.7,0.28
Other green and fresh vegetables,1,1800.0,1800.0,,800.0,0.44
Paddy(Dhan)(Basmati),25,2479.96,2500.0,266.79,273.28,0.11
Paddy(Dhan)(Common),163,2202.04,2200.0,294.86,134.11,0.06
Papaya,208,3254.42,3175.0,870.56,413.11,0.14
Papaya (Raw),8,2137.5,1950.0,890.73,275.0,0.15
Pear(Marasebu),21,5226.59,4800.0,3376.23,1311.11,0.3
Peas Wet,24,10270.83,9000.0,4323.79,2895.83,0.34
Peas cod,8,10343.75,9375.0,4405.63,937.5,0.1
Peas(Dry),12,5427.5,5027.5,1965.03,315.0,0.04
Pegeon Pea (Arhar Fali),2,6750.0,6750.0,2474.87,2000.0,0.36
Pepper ungarbled,2,61175.0,61175.0,1873.83,150.0,0.0
Persimon(Japani Fal),5,4800.0,4500.0,758.29,3300.0,0.72
Pigs,1,5300.0,5300.0,,3500.0,0.66
Pineapple,47,6507.23,5700.0,5180.0,1109.36,0.26
Plum,3,4716.67,3800.0,2456.79,3533.33,0.82
Pointed gourd (Parval),61,3710.16,3500.0,1120.36,411.8,0.11
Pomegranate,137,10885.91,7560.0,5815.6,2670.11,0.27
Potato,544,3160.45,2450.0,1736.67,399.01,0.13
Pumpkin,373,1851.23,1600.0,738.29,289.46,0.16
Raddish,253,2876.91,3000.0,987.08,372.94,0.14
Ragi (Finger Millet),6,3832.17,4009.5,691.31,475.0,0.13
Rajgir,6,5352.67,6407.5,2643.2,662.17,0.19
Rayee,1,5900.0,5900.0,,0.0,0.0
Red Gram,1,7600.0,7600.0,,400.0,0.05
Rice,162,3453.14,3237.5,629.18,311.64,0.08
Ridgeguard(Tori),231,3346.77,3400.0,1172.59,446.47,0.15
Rose(Local),27,11370.37,10000.0,5189.84,1537.04,0.13
Rose(Loose)),1,6000.0,6000.0,,1000.0,0.17
Round gourd,7,1687.14,1800.0,840.13,357.14,0.23
Rubber,5,21980.0,21600.0,614.0,141.8,0.01
Sajje,1,2125.0,2125.0,,50.0,0.02
Seemebadnekai,2,1750.0,1750.0,353.55,400.0,0.22
Seetapal,6,4225.0,3675.0,1730.25,3050.0,0.77
"Sesamum(Sesame,Gingelly,Til)",44,12114.89,11750.0,1721.91,2448.75,0.2
Snakeguard,212,2745.42,2600.0,1143.91,433.25,0.17
Soanf,7,6245.29,6350.0,394.71,1347.14,0.22
Soyabean,115,4295.16,4330.0,343.62,688.96,0.16
Spinach,49,2112.22,1840.0,1243.91,512.37,0.26
Sponge gourd,44,1863.52,1837.5,580.11,324.55,0.17
Squash(Chappal Kadoo),9,1422.22,1300.0,804.33,400.0,0.25
Sugar,8,4121.88,4110.0,34.01,75.0,0.02
Sunflower,5,4849.0,5100.0,987.17,427.4,0.09
Surat Beans (Papadi),1,5750.0,5750.0,,3500.0,0.61
Suva (Dill Seed),6,7566.25,7250.0,966.82,1378.33,0.19
Suvarna Gadde,1,4500.0,4500.0,,1500.0,0.33
Sweet Potato,50,4840.0,5000.0,1258.28,550.0,0.12
Sweet Pumpkin,23,1560.87,1600.0,556.15,243.48,0.19
Tamarind Fruit,30,10267.0,10000.0,2742.96,1033.67,0.1
Tamarind Seed,1,3100.0,3100.0,,200.0,0.06
Tapioca,107,3266.82,3000.0,615.79,463.55,0.15
Taramira,2,5050.0,5050.0,282.84,350.0,0.07
Tender Coconut,65,3073.85,3000.0,917.71,566.15,0.19
Thondekai,82,3611.61,4000.0,879.93,429.27,0.12
Tinda,11,3240.91,2500.0,1483.38,581.82,0.19
Tomato,556,4173.88,4000.0,1394.05,616.23,0.17
Tube Flower,6,44833.33,42500.0,15105.19,5666.67,0.13
Tube Rose(Loose),9,7111.11,7000.0,1900.29,1000.0,0.14
Turmeric,7,11883.71,12137.0,1950.49,1162.71,0.09
Turmeric (raw),2,6075.0,6075.0,3075.91,5000.0,0.84
Turnip,17,4829.41,4500.0,1455.92,752.94,0.17
Water Melon,37,2255.41,2000.0,943.01,562.16,0.31
Wheat,346,2660.77,2645.0,207.94,213.58,0.08
White Peas,19,4770.53,4975.0,1174.74,475.53,0.08
White Pumpkin,3,1127.67,1300.0,372.69,133.33,0.15
Wood,6,513.33,495.0,66.23,60.83,0.12
Yam (Ratalu),73,7975.34,8000.0,2181.35,931.51,0.11
buttery,3,5500.0,5000.0,1322.88,200.0,0.04
gulli,2,3800.0,3800.0,424.26,0.0,0.0
