market,state,count,num_commodities,mean_modal_price,std_modal_price,mean_price_range,mean_price_spread_ratio
Dudhansadhan,Punjab,11,11,4000.0,2167.03,327.27,0.11
Dudu,Rajasthan,9,9,3619.44,1697.41,161.11,0.05
Duggirala,Andhra Pradesh,2,1,12600.0,0.0,2100.0,0.17
Dumal,Odisha,1,1,12000.0,,10000.0,0.83
Dungarpur,Rajasthan,3,3,2792.33,844.62,182.67,0.07
Dungurapalli,Odisha,7,7,4600.0,1666.08,257.14,0.05
Durgapur,West Bengal,13,10,4800.0,3313.36,324.62,0.07
Edapadi (Uzhavar Sandhai ),Tamil Nadu,36,36,4669.44,2741.41,730.56,0.12
Elamkur  VFPCK,Kerala,3,1,2033.33,1006.64,200.0,0.12
Elampillai(Uzhavar Sandhai ),Tamil Nadu,46,46,6352.17,7782.11,897.83,0.14
English Bazar,West Bengal,5,5,6042.0,3530.41,644.0,0.1
Ernakulam,Kerala,10,9,3850.0,1516.03,500.0,0.14
Etawah,Uttar Pradesh,23,23,5898.04,4682.91,361.74,0.09
Ettumanoor,Kerala,23,23,4569.57,1850.17,356.52,0.09
Faizabad,Uttar Pradesh,21,21,4355.24,3099.41,155.71,0.04
Falakata,West Bengal,16,15,4925.0,5654.61,318.75,0.07
Farukhabad,Uttar Pradesh,26,26,4072.5,3233.75,253.85,0.08
Fatehabad,Uttar Pradesh,11,11,1545.45,586.71,172.73,0.11
Fatehnagar,Rajasthan,3,3,3631.0,2089.81,183.33,0.05
Fatehpur,Uttar Pradesh,18,18,4394.44,3440.88,206.11,0.07
Fazilka,Punjab,15,15,4346.67,2802.26,1366.67,0.33
Firozabad,Uttar Pradesh,25,25,3342.4,1695.11,189.6,0.07
Gadarpur,Uttrakhand,1,1,3540.0,,1170.0,0.33
Gadarwada,Madhya Pradesh,1,1,2650.0,,2575.0,0.97
Gadaura,Uttar Pradesh,12,12,2408.33,1448.8,195.83,0.1
Gaddiannaram,Telangana,17,16,3862.35,4375.89,4459.41,1.56
Gadwal,Telangana,2,2,5107.5,1327.24,3189.5,0.69
Gadwal(Lezza),Telangana,1,1,2200.0,,300.0,0.14
Gajwel,Telangana,1,1,2200.0,,0.0,0.0
Ganaur,Haryana,25,25,4871.24,4328.84,778.4,0.15
Gandai,Chattisgarh,2,2,3391.5,1709.08,375.0,0.09
Gandarvakottai(Uzhavar Sandhai ),Tamil Nadu,26,26,3442.31,2355.11,526.92,0.18
Gandchiroli,Maharashtra,1,1,2600.0,,370.0,0.14
Ganderbal,Jammu and Kashmir,3,1,3958.0,1262.91,781.0,0.21
Gangadhara,Telangana,1,1,2300.0,,0.0,0.0
Gangapurcity(Old Lal mandi),Rajasthan,2,2,2486.0,260.22,72.5,0.03
Gangarampur(Dakshin Dinajpur),West Bengal,14,14,3539.29,2431.54,585.71,0.18
Gangoh,Uttar Pradesh,7,7,5942.86,6608.29,471.43,0.1
Garbeta(Medinipur),West Bengal,12,11,6858.33,4427.28,619.17,0.09
Garh Shankar,Punjab,18,18,4666.67,4837.6,1388.89,0.34
GarhShankar (Kotfatuhi),Punjab,6,6,3033.33,1139.59,1000.0,0.32
Gattasilli,Chattisgarh,1,1,1900.0,,0.0,0.0
Gautampura,Madhya Pradesh,3,2,3386.67,1057.31,158.33,0.05
Gazipur,Uttar Pradesh,24,23,5501.46,3599.86,56.67,0.02
"Gerabari, Korha Block",Bihar,1,1,4400.0,,200.0,0.05
Ghatal,West Bengal,8,8,4612.5,1997.99,337.5,0.07
Ghaziabad,Uttar Pradesh,37,37,5090.14,3823.01,111.62,0.03
Ghiraur,Uttar Pradesh,19,19,4190.11,3311.58,190.26,0.07
Gingee(Uzhavar Sandhai ),Tamil Nadu,34,34,4644.12,2452.85,161.76,0.03
Gobichettipalayam(Uzhavar Sandhai ),Tamil Nadu,38,38,6586.84,6234.78,892.11,0.12
Godabhaga,Odisha,1,1,2183.0,,20.0,0.01
Gogamba,Gujarat,2,2,5150.0,3323.4,475.0,0.09
Gogamba(Similiya),Gujarat,2,2,5000.0,3181.98,300.0,0.05
Gohad,Madhya Pradesh,2,2,4547.5,2683.47,245.0,0.04
Gohana,Haryana,14,14,3564.29,1802.82,1557.14,0.45
Golaghat,Assam,9,9,3674.16,2309.18,625.93,0.14
Golagokarnath,Uttar Pradesh,22,22,4743.18,3932.13,146.36,0.05
Gonda,Uttar Pradesh,33,33,4929.85,3412.48,192.58,0.05
Gondal,Gujarat,20,18,7497.5,5403.04,2799.75,0.34
Gondal(Veg.market Gondal),Gujarat,13,13,4146.15,2621.34,2790.77,0.56
Gonikappal,Karnataka,1,1,50000.0,,21711.0,0.43
Gopa,Odisha,6,6,3300.0,883.18,450.0,0.14
Gopiganj,Uttar Pradesh,23,23,4404.35,3221.44,97.39,0.03
Gorakhpur,Uttar Pradesh,19,18,5189.47,3336.67,94.74,0.03
Gotegaon,Madhya Pradesh,1,1,7800.0,,300.0,0.04
Gudalur(Uzhavar Sandhai ),Tamil Nadu,37,37,5535.14,5491.72,651.35,0.13
Gudimalkapur,Telangana,26,26,2111.54,1456.39,1400.0,0.65
Gudiyatham(Uzhavar Sandhai ),Tamil Nadu,49,49,6379.59,7775.55,275.51,0.06
Guduvancheri(Uzhavar Sandhai ),Tamil Nadu,31,31,5112.9,2410.77,951.61,0.19
Gulavati,Uttar Pradesh,15,15,3073.33,3211.47,246.67,0.11
Gummidipoondy,Tamil Nadu,1,1,2200.0,,500.0,0.23
Guna,Madhya Pradesh,5,5,6568.0,2219.66,1097.0,0.14
Gundlupet,Karnataka,16,16,7770.0,12084.25,375.62,0.11
Gurdaspur,Punjab,20,20,4460.0,4727.01,840.0,0.2
Gurgaon,Haryana,9,9,3638.89,2414.51,2166.67,0.57
Gurur,Chattisgarh,1,1,2193.0,,39.0,0.02
Haathras,Uttar Pradesh,25,25,5083.6,3587.06,180.0,0.05
Haatpipliya,Madhya Pradesh,1,1,3750.0,,250.0,0.07
Habra,West Bengal,8,8,4890.0,3081.78,302.5,0.06
Hadad    ,Gujarat,1,1,6925.0,,220.0,0.03
Haibargaon,Assam,4,4,3275.12,2949.87,391.68,0.11
Haldibari,West Bengal,5,5,3862.0,2715.0,160.0,0.04
Haldwani,Uttrakhand,13,13,2792.31,1526.69,569.23,0.22
Haliyala,Karnataka,2,2,2375.0,35.36,210.0,0.09
Halvad,Gujarat,9,8,7600.0,4212.78,1818.33,0.23
Hamirpur,Himachal Pradesh,25,25,7132.0,6101.84,784.0,0.12
Hamirpur(Nadaun),Himachal Pradesh,22,22,6963.64,6290.81,622.73,0.11
Hanmarkonda(Rythu Bazar),Telangana,15,15,4706.67,1293.65,540.0,0.13
Hansi,Haryana,16,16,3425.0,1920.94,368.75,0.13
Hapur,Uttar Pradesh,22,22,4351.36,3861.2,259.09,0.06
Harappana Halli,Karnataka,3,3,2187.67,121.76,143.33,0.07
Harda,Madhya Pradesh,11,8,5773.91,3225.5,2823.18,0.4
Hardoi,Uttar Pradesh,22,22,4280.45,3294.21,77.5,0.03
Harihara,Karnataka,1,1,2475.0,,0.0,0.0
Harike,Punjab,4,4,750.0,100.0,100.0,0.13
Harippad,Kerala,17,17,4500.0,1500.0,494.12,0.13
Harpalpur,Madhya Pradesh,1,1,2650.0,,0.0,0.0
Harsood,Madhya Pradesh,2,1,4137.5,53.03,495.0,0.12
Harur(Uzhavar Sandhai ),Tamil Nadu,38,38,5231.58,5372.81,642.11,0.13
Hasanpur,Uttar Pradesh,21,21,1723.33,687.05,200.24,0.1
Hasthampatti(Uzhavar Sandhai ),Tamil Nadu,60,60,6681.67,5742.19,913.33,0.13
Himatnagar,Gujarat,4,4,4465.0,2252.07,1055.0,0.2
Hindol,Odisha,12,12,4433.33,1996.97,475.0,0.12
Hingoli,Maharashtra,4,4,3836.25,2436.43,760.25,0.32
Hirapur,Chattisgarh,1,1,1800.0,,0.0,0.0
Hoshangabad,Madhya Pradesh,1,1,2561.0,,11.0,0.0
Hosur(Uzhavar Sandhai ),Tamil Nadu,68,68,7713.24,7707.49,1272.06,0.16
Husnabad,Telangana,1,1,2300.0,,0.0,0.0
Huzumnagar(Garidepally),Telangana,1,1,2320.0,,0.0,0.0
Huzurnagar,Telangana,1,1,2320.0,,0.0,0.0
Huzurnagar(Matampally),Telangana,1,1,2320.0,,0.0,0.0
Huzzurabad,Telangana,2,1,2193.0,14.14,0.0,0.0
Indore,Madhya Pradesh,9,7,5596.22,3761.09,3930.56,0.56
Indus(Bankura Sadar),West Bengal,7,7,4014.29,2347.64,331.43,0.08
Itarsi,Madhya Pradesh,2,2,5140.5,3266.13,2892.0,0.41
Jabalpur,Madhya Pradesh,4,4,5342.5,1650.41,156.25,0.02
Jafarganj,Uttar Pradesh,23,23,3896.09,3069.02,94.35,0.03
Jagadhri,Haryana,15,15,3210.0,1779.77,1408.93,0.38
Jagatsinghpur,Odisha,2,2,3340.0,975.81,80.0,0.03
Jagiroad Dry Fish Market,Assam,8,8,3808.39,2855.1,425.01,0.14
Jagnair,Uttar Pradesh,13,13,2103.85,1619.34,115.38,0.08
Jahajharpur,Bihar,2,2,4000.0,1979.9,200.0,0.06
Jahanabad,Uttar Pradesh,4,4,2629.0,596.8,8.0,0.0
Jahangirabad,Uttar Pradesh,25,25,4391.64,3507.76,181.72,0.06
Jainagar,Bihar,1,1,4400.0,,400.0,0.09
Jaipur (F&V),Rajasthan,28,28,4371.43,3901.41,2200.0,0.47
Jaisinagar,Madhya Pradesh,2,2,4705.0,3104.2,30.0,0.01
Jaithari,Madhya Pradesh,1,1,2510.0,,10.0,0.0
Jaitu,Punjab,1,1,2800.0,,50.0,0.02
Jakhal,Haryana,8,8,2625.0,1242.98,0.0,0.0
Jalagandapuram(Uzhavar Sandhai ),Tamil Nadu,41,41,5392.68,6833.24,631.71,0.12
Jalalabad,Punjab,30,30,4983.33,4413.07,243.33,0.06
Jalandhar City(Jalandhar),Punjab,36,36,2699.44,1889.98,1712.5,0.61
Jaleswar,Odisha,10,10,6630.0,7993.48,400.0,0.12
Jalgaon,Maharashtra,4,4,3950.0,2148.26,420.0,0.07
Jalore,Rajasthan,12,12,3033.33,1498.08,475.0,0.19
Jalpaiguri Sadar,West Bengal,14,9,4585.71,3046.59,214.29,0.05
Jam Khambalia,Gujarat,11,11,7975.91,5864.92,853.64,0.11
Jambusar,Gujarat,8,8,4312.5,2212.59,425.0,0.12
Jambusar(Kaavi),Gujarat,7,7,4400.0,2416.61,400.0,0.12
Jameenrayapettai(Uzhavar Sandhai ),Tamil Nadu,59,59,5813.56,3212.18,737.29,0.14
Jammikunta,Telangana,1,1,6400.0,,700.0,0.11
Jamnagar,Gujarat,17,17,7865.29,5274.37,2815.0,0.28
Jamui,Bihar,2,2,3450.0,1484.92,100.0,0.03
Jangipur,West Bengal,6,6,5327.5,4572.85,74.17,0.02
Jaora,Madhya Pradesh,5,5,9261.2,9493.19,1814.8,0.12
Jasdan,Gujarat,19,17,6385.53,5224.09,2211.58,0.31
Jaspur,Chattisgarh,6,6,4133.33,2280.06,0.0,0.0
Jasra,Uttar Pradesh,5,5,2339.0,1136.15,143.0,0.07
Jasvantnagar,Uttar Pradesh,21,21,4192.86,3563.38,102.38,0.04
Jaunpur,Uttar Pradesh,15,15,7203.67,3429.87,83.33,0.01
Jawra(F&V),Madhya Pradesh,8,8,2187.5,798.99,1125.0,0.49
Jayas,Uttar Pradesh,6,6,3543.33,1950.23,155.0,0.05
Jeerapur,Madhya Pradesh,2,2,3462.5,1021.77,27.5,0.01
Jehanabad,Bihar,1,1,5000.0,,0.0,0.0
Jetpur(Dist.Rajkot),Gujarat,9,7,6882.78,5195.98,3108.33,0.42
Jeyankondam (Uzhavar Sandhai ),Tamil Nadu,21,21,5033.33,2551.34,638.1,0.13
Jhabua,Madhya Pradesh,1,1,2200.0,,0.0,0.0
Jhansi,Uttar Pradesh,9,9,2792.22,1284.86,214.44,0.08
Jhansi (Grain),Uttar Pradesh,4,4,4548.75,1881.61,282.5,0.06
Jhunjhunu,Rajasthan,1,1,6300.0,,0.0,0.0
Jodhpur (F&V),Rajasthan,11,11,4095.45,5514.46,2809.09,0.76
Jodhpur (Grain),Rajasthan,8,8,10451.25,7451.86,2586.25,0.2
Jodhpur(F&V)(Paota),Rajasthan,21,21,3447.62,1402.72,890.48,0.3
Jorhat,Assam,9,9,3537.11,2280.6,448.16,0.13
Junagadh,Gujarat,11,11,8197.73,5579.77,1229.09,0.17
K.R. Pet,Karnataka,1,1,6000.0,,0.0,0.0
Kadakkal  VFPCK,Kerala,4,1,4800.0,1267.54,2075.0,0.43
Kadaura,Uttar Pradesh,1,1,3400.0,,0.0,0.0
Kadi,Gujarat,5,5,4775.0,2065.49,189.0,0.05
Kahithapattarai(Uzhavar Sandhai ),Tamil Nadu,59,59,6879.66,8501.88,194.92,0.05
Kairana,Uttar Pradesh,12,12,2233.33,1503.23,100.0,0.06
Kalagategi,Karnataka,2,2,3273.0,1658.87,153.5,0.03
Kalanaur,Punjab,4,4,4350.0,2050.2,125.0,0.05
Kalanjoor  VFPCK,Kerala,2,1,5700.0,141.42,0.0,0.0
Kalapipal(F&V),Madhya Pradesh,2,2,10827.5,10482.86,11745.0,1.01
Kalediya,Gujarat,1,1,6900.0,,200.0,0.03
Kaliaganj,West Bengal,3,3,4166.67,1680.28,500.0,0.1
Kalikiri,Andhra Pradesh,1,1,4530.0,,940.0,0.21
Kalimpong,West Bengal,7,7,8314.29,5096.54,1314.29,0.16
Kallachi,Kerala,19,17,4778.95,2101.74,400.0,0.1
Kallakurichi(Uzhavar Sandhai ),Tamil Nadu,48,48,7493.75,7479.57,229.17,0.02
Kalol,Gujarat,4,4,4037.5,2045.47,97.5,0.04
"Kalol(Veg,Market,Kalol)",Gujarat,15,15,2416.67,1266.56,1136.67,0.51
Kalpetta,Kerala,14,14,10092.86,16570.71,164.93,0.03
Kalyani,West Bengal,9,7,4110.0,2124.8,426.67,0.1
Kamakhyanagar,Odisha,12,12,5541.67,2641.09,575.0,0.12
Kamakshi VFPCK,Kerala,1,1,2600.0,,700.0,0.27
Kambam(Uzhavar Sandhai ),Tamil Nadu,41,41,4987.8,4592.83,290.24,0.07
Kamlaganj,Uttar Pradesh,2,2,2450.0,141.42,80.0,0.03
Kamthi,Maharashtra,16,16,3406.25,1572.88,1062.5,0.38
Kanakapura,Karnataka,1,1,3500.0,,1000.0,0.29
Kanchanpur,Tripura,9,9,8011.11,6330.82,1289.89,0.14
Kancheepuram(Uzhavar Sandhai ),Tamil Nadu,23,23,4586.96,2415.16,969.57,0.19
Kandi,West Bengal,5,5,3270.0,1491.89,98.0,0.03
Kandiyaperi(Uzhavar Sandhai ),Tamil Nadu,12,12,4233.33,1715.35,508.33,0.13
Kangayam(Uzhavar Sandhai ),Tamil Nadu,29,29,4479.31,2700.71,534.48,0.13
Kangra,Himachal Pradesh,34,34,6547.06,5591.56,1152.94,0.19
Kangra(Baijnath),Himachal Pradesh,26,26,6203.85,4197.95,750.0,0.12
Kangra(Nagrota Bagwan),Himachal Pradesh,30,30,5553.33,3898.25,1006.67,0.2
Kanjangadu,Kerala,29,28,8444.83,12266.58,658.62,0.15
Kanjirappally,Kerala,25,24,6100.0,2333.63,556.0,0.1
Kannod,Madhya Pradesh,2,2,5200.0,2404.16,435.0,0.12
Kannur,Kerala,8,8,13650.0,21590.87,1412.5,0.09
Kanpur(Grain),Uttar Pradesh,30,30,4642.0,3208.07,160.67,0.05
Kantabaji,Odisha,5,5,4300.0,1095.45,1000.0,0.24
Kapadvanj,Gujarat,9,9,2250.0,939.08,638.89,0.36
Karaikudi(Uzhavar Sandhai ),Tamil Nadu,44,44,6740.91,5015.06,1231.82,0.19
Karambakkudi(Uzhavar Sandhai ),Tamil Nadu,25,25,4560.0,3113.55,760.0,0.21
Karanja,Maharashtra,8,8,6339.38,3251.08,1206.88,0.19
Karanjia,Odisha,4,4,7250.0,7889.44,450.0,0.07
Karapa,Andhra Pradesh,1,1,2183.0,,17.0,0.01
Karera,Madhya Pradesh,1,1,2561.0,,36.0,0.01
Karhi,Madhya Pradesh,1,1,6100.0,,1285.0,0.21
Karimnagar,Telangana,10,10,3570.0,1205.36,580.0,0.19
Kariyapatti(Uzhavar Sandhai ),Tamil Nadu,3,3,5166.67,763.76,666.67,0.13
Karjat,Maharashtra,7,7,3921.43,2251.27,728.57,0.24
Karsiyang(Matigara),West Bengal,10,9,4640.0,1825.25,510.0,0.11
Karur(Uzhavar Sandhai ),Tamil Nadu,39,39,5602.56,3220.37,753.85,0.15
Karuvannur VFPCK,Kerala,1,1,4000.0,,3500.0,0.88
Kasdol,Chattisgarh,1,1,1950.0,,100.0,0.05
Kasimbazar,West Bengal,2,2,4425.0,1166.73,100.0,0.02
Kasinagar,Odisha,2,2,2000.0,0.0,500.0,0.25
Kasrawad,Madhya Pradesh,4,3,2847.5,803.19,31.25,0.01
Katghora,Chattisgarh,1,1,2600.0,,0.0,0.0
Kathua,Jammu and Kashmir,33,32,5412.12,4733.44,678.79,0.14
Katni,Madhya Pradesh,6,4,4004.33,2583.29,26.0,0.01
Katpadi (Uzhavar Sandhai ),Tamil Nadu,52,52,6542.31,9590.08,901.92,0.08
Kattampak  VFPCK,Kerala,2,2,412.5,548.01,154.0,0.35
Kaveripattinam(Uzhavar Sandhai ),Tamil Nadu,29,29,5079.31,2825.32,958.62,0.18
Kawai Salpura (Atru),Rajasthan,6,6,4782.33,2319.7,547.17,0.12
Kayamganj,Uttar Pradesh,24,24,4468.33,3046.6,80.83,0.03
Kayamkulam,Kerala,25,23,3636.0,2732.81,200.0,0.08
Keelpennathur(Uzhavar Sandhai ),Tamil Nadu,6,6,4283.33,1449.71,616.67,0.14
Kendrapara,Odisha,6,6,3916.67,801.04,750.0,0.19
Kendrapara(Marshaghai),Odisha,7,7,3928.57,932.23,742.86,0.18
Keonjhar,Odisha,10,10,4500.0,942.81,520.0,0.12
Keshopur,NCT of Delhi,13,13,4046.15,3359.84,2384.62,0.58
Kesinga,Odisha,6,6,6566.67,4499.63,666.67,0.1
Khadur Sahib(Fetehabad),Punjab,3,3,2366.67,230.94,100.0,0.04
Khaga,Uttar Pradesh,20,20,3954.0,3223.41,120.0,0.04
Khair,Uttar Pradesh,15,15,3690.0,4305.49,584.67,0.17
Khajuwala,Rajasthan,2,2,6540.5,481.54,805.0,0.12
Khalilabad,Uttar Pradesh,9,9,1888.89,747.4,277.78,0.16
Khamano,Punjab,8,8,3750.0,2035.4,0.0,0.0
Khambhat(Grain Market),Gujarat,3,3,2708.33,473.24,450.0,0.17
Khambhat(Veg Yard Khambhat),Gujarat,6,6,2241.67,1153.0,616.67,0.34
Khammam,Telangana,4,3,10025.0,4800.26,4225.0,0.43
Khandhla,Uttar Pradesh,15,15,1971.67,1407.53,83.33,0.06
Khandwa,Madhya Pradesh,5,4,3584.4,1384.97,760.6,0.16
Khanna,Punjab,27,27,3333.52,3069.64,1542.59,0.48
Khargapur,Madhya Pradesh,1,1,2500.0,,60.0,0.02
Khargone,Madhya Pradesh,4,4,3755.25,1978.6,1191.75,0.34
Khateema,Uttrakhand,12,12,1558.33,1145.31,208.33,0.19
Khatra,West Bengal,10,10,3270.0,1830.03,485.0,0.17
Khed,Maharashtra,9,9,2266.67,1354.62,955.56,0.53
Khedbrahma,Gujarat,1,1,2850.0,,200.0,0.07
Khetia,Madhya Pradesh,1,1,6900.0,,825.0,0.12
Khurai,Madhya Pradesh,6,6,5605.5,1527.22,822.83,0.17
Khurai(F&V),Madhya Pradesh,8,8,2762.5,1379.38,762.5,0.32
Khurja,Uttar Pradesh,21,21,3605.24,2546.14,230.24,0.07
Kicchha,Uttrakhand,8,8,1637.5,1162.43,200.0,0.16
Kiratpur,Uttar Pradesh,6,6,2233.33,861.2,100.0,0.05
Kishunpur,Uttar Pradesh,1,1,2410.0,,20.0,0.01
Kochas (Balthari),Bihar,1,1,4600.0,,200.0,0.04
Kodad,Telangana,1,1,2203.0,,0.0,0.0
Kodinar,Gujarat,4,4,5030.0,1543.07,1587.5,0.3
Kodungalloor,Kerala,20,20,4385.0,2762.01,335.0,0.1
Koduvayoor,Kerala,39,36,5410.26,4930.83,420.51,0.11
Kohima,Nagaland,5,5,13280.0,7232.7,560.0,0.04
Kolaras,Madhya Pradesh,1,1,6130.0,,1245.0,0.2
Kolhapur,Maharashtra,10,10,3265.0,2017.98,3355.0,0.97
Konch,Uttar Pradesh,13,13,3077.85,1592.9,92.31,0.04
Kondagoan,Chattisgarh,1,1,2100.0,,200.0,0.1
Kondotty,Kerala,27,27,5414.81,6082.81,288.89,0.06
Koovapadi VFPCK,Kerala,8,5,2962.5,1309.24,400.0,0.16
Kopaganj,Uttar Pradesh,10,10,1848.0,1220.26,240.0,0.14
Koraput,Odisha,3,3,5000.0,3041.38,733.33,0.14
Koraput(Semilguda),Odisha,3,3,2766.67,2369.25,466.67,0.16
Kosli,Haryana,5,5,1940.0,260.77,0.0,0.0
Kot ise Khan,Punjab,7,7,1071.43,179.95,200.0,0.19
Kota,Rajasthan,12,12,6448.75,4462.48,1572.67,0.17
Kotadwara,Uttrakhand,14,8,2621.43,550.77,292.86,0.11
Kothamangalam,Kerala,27,26,4462.96,2385.56,1259.26,0.35
Kotkapura,Punjab,1,1,2000.0,,0.0,0.0
Kotma,Madhya Pradesh,1,1,1900.0,,0.0,0.0
Kottakkal,Kerala,33,33,4369.7,2576.03,200.0,0.06
Kottarakkara,Kerala,27,23,5285.19,2680.23,955.56,0.2
Kottayam,Kerala,24,20,4958.33,2532.9,550.0,0.11
Kovilnada  VFPCK,Kerala,1,1,5000.0,,2000.0,0.4
Kovilpatti(Uzhavar Sandhai ),Tamil Nadu,40,40,5567.5,4012.51,537.5,0.12
Krishnagiri(Uzhavar Sandhai ),Tamil Nadu,49,49,5418.37,5227.28,832.65,0.16
Kudchi,Karnataka,1,1,2400.0,,200.0,0.08
Kukshi,Madhya Pradesh,3,2,4166.67,2540.34,874.67,0.32
Kulgam,Jammu and Kashmir,3,2,4153.33,631.29,540.0,0.13
Kulithalai(Uzhavar Sandhai ),Tamil Nadu,46,46,5015.22,3067.03,1043.48,0.21
Kullu,Himachal Pradesh,9,9,3377.78,1155.18,788.89,0.22
Kullu(Chauri Bihal),Himachal Pradesh,8,8,4675.0,3012.24,1687.5,0.45
Kullu(Patli Kuhal),Himachal Pradesh,1,1,4000.0,,4000.0,1.0
Kumarapalayam(Uzhavar Sandhai ),Tamil Nadu,40,40,4310.0,2531.52,680.0,0.17
